ID,Neurodiversity,Posted By,Employer,Post Type,Time Posted,Content,Likes,Comments,Shares,Timestamp Collected,Post URL,Post ID,hashtags,diseases,medical_advice,topic,workplace_related,medical_medicine_related,discrimination,medicine_related,relational_challenges,social_emotional_challenges,managing_diseases,summarize
1,Autism,a Human Resources Manager,San Diego State University,Human Resources,a month,"Hi All,
I’m looking for some advice. We have an employee that recently found out they are on the autism spectrum. They have not formally notified HR but recently have been noting their new status at every opportunity, even with customers over the phone, which has brought up concerns about appearances. I’m assuming some kind of intent and would like to address the comments with the employee to find out more about the situation. What would you do? How would you address the situation?",16,57,3,2024-09-19 20:27:50,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1,No hashtags found,Autism,No.,Autism in the workplace,Yes.,No.,No.,No.,No.,No.,No.,"The key topic is how to address an employee's disclosure of being on the autism spectrum and their behavior of mentioning it frequently, even with customers."
2,Autism,a Vice President,San Diego State University,Parents at Work,2 months,"Very close to pull the trigger to take 2-3 years off to be a SAHM. Wanted to see the thoughts.
Reasons:
1: have 2 kids (7 and 4). The younger one has modest autism. It has been very challenging to get him to sit and eat on the table and just to be more independent in general so wanted to spend more time there.
2: we have ~3mm net worth now and husband typically makes 500k or more as a limited partner in a small company so financially we are probably ok
See below for concerns",13,54,5,2024-09-19 20:28:33,https://www.fishbowlapp.com/post/very-close-to-pull-the-trigger-to-take-2-3-years-off-to-be-a-sahm-wanted-to-see-the-thoughts-reasons1-have-2-kids-7-and-4-the-younger,2,No hashtags found,Autism,No.,SAHM (Stay-at,No.,No.,No.,No.,No.,No.,No.,The main topic is considering taking time off to be a stay-at-home mom due to family reasons and financial stability.
3,Autism,a Legal Assistant,San Diego State University,Confession,8 months,"I’ve been crying for the last hour and can’t seem to stop. My 26-year-old daughter was diagnosed with autism and ADHD and is currently in therapy, which is helping her. However, we talked to her therapist earlier tonight and he told us that “developmentally” she’s 17. I’m so upset because no mother wants their child to struggle in life, and obviously also because we never even considered anything like this when she was younger. We had no clue. I just feel so bad for her and for not knowing.",12,27,1,2024-09-19 20:29:16,https://www.fishbowlapp.com/post/ive-been-crying-for-the-last-hour-and-cant-seem-to-stop-my-26-year-old-daughter-was-diagnosed-with-autism-and-adhd-and-is-currently,3,No hashtags found,Autism,No.,Autism and ADHD diagnosis,No.,No.,No.,No.,No.,No.,No.,The key topic is the emotional struggle of a mother whose 26-year-old daughter has been diagnosed with autism and ADHD and is developmentally at the age of 17.
4,Autism,a Senior Chemist 1,San Diego State University,The Worklife Bowl,10 months,"I'm a 19 year old with high anxiety and depression, as well as a mentally disabled individual, namely ADHD and autism.

I'm generally very quiet and shy and hate any form of confrontation and lackluster conversation that doesn't interest me. I WANT to have connections and be nicer to people, but it's very hard to convince myself to. What do you guys think I can try in order to be more comfortable around others and do my job better?",14,20,3,2024-09-19 20:29:50,https://www.fishbowlapp.com/post/im-a-19-year-old-with-high-anxiety-and-depression-as-well-as-a-mentally-disabled-individual-namely-adhd-and-autism-im-generally,4,No hashtags found,Autism,No.,Social anxiety and communication.,No.,No.,No.,No.,Yes.,No.,No.,"The key topic is how to improve social interactions and job performance for an individual with anxiety, depression, ADHD, and autism."
5,Autism,an Associate,San Diego State University,Big Law,4 months,Does anyone have autism in big law ? If so how do you deal with unsaid rules? Have you asked for accommodations?,16,10,10,2024-09-19 20:30:17,https://www.fishbowlapp.com/post/does-anyone-have-autism-in-big-law-if-so-how-do-you-deal-with-unsaid-rules-have-you-asked-for-accommodations,5,No hashtags found,Autism,No.,Autism in Big Law,Yes.,No.,No.,No.,No.,No.,No.,The key topic is autism in the context of big law and how to deal with unsaid rules and accommodations.
6,Autism,a Director 1,San Diego State University,Parents at Work,9 months,Speech specialist wants my daughter to be fully evaluated for autism. Words you never want to hear 😔,5,28,1,2024-09-19 20:30:37,https://www.fishbowlapp.com/post/speech-specialist-wants-my-daughter-to-be-fully-evaluated-for-autism-words-you-never-want-to-hear,6,No hashtags found,Autism,No.,Autism evaluation.,No.,No.,No.,No.,Yes.,No.,No.,The key topic is the potential evaluation for autism of the speaker's daughter.
7,Autism,a Claims Adjuster,San Diego State University,The Worklife Bowl,3 months,Does anyone else with Autism and/or ADHD working in a corporate office feel so out of place? I struggle so much and when I get overwhelmed I am told to “calm down.” Gee I wish I had thought of that myself. How do you handle consistent stress and overwhelm? Is there anything that helps?,13,24,0,2024-09-19 20:31:05,https://www.fishbowlapp.com/post/does-anyone-else-with-autism-andor-adhd-working-in-a-corporate-office-feel-so-out-of-place-i-struggle-so-much-and-when-i-get,7,No hashtags found,Autism,No.,Autism/ADHD,Yes.,No.,No.,No.,No.,No.,No.,"The main topic is the challenges faced by individuals with Autism and/or ADHD in a corporate office environment, including feeling out of place, struggling with overwhelm, and seeking coping strategies."
8,Autism,a Clinical Appeals Nurse 1,San Diego State University,Healthcare,6 months,What is your opinions on vaccinations specifically on our youth? I'm starting to lean to the idea of it causing autism. Thoughts?,5,12,1,2024-09-19 20:31:39,https://www.fishbowlapp.com/post/what-is-your-opinions-on-vaccinations-specifically-on-our-youth-im-starting-to-lean-to-the-idea-of-it-causing-autism,8,No hashtags found,Autism,No.,Vaccinations and autism,No.,No.,Yes.,No.,No.,Yes.,No.,The key topic is vaccinations and their potential link to autism in youth.
9,Autism,a Manager Advisory Services 1,San Diego State University,The Worklife Bowl,6 months,"I have autism, and I feel like the work environment is more challenging. How have you used autism as a strength, and been successful in the working world?",21,8,0,2024-09-19 20:31:55,https://www.fishbowlapp.com/post/i-have-autism-and-i-feel-like-the-work-environment-is-more-challenging-how-have-you-used-autism-as-a-strength-and-been-successful-in,9,No hashtags found,Autism,No.,Autism in the workplace,Yes.,No.,No.,No.,No.,No.,No.,The key topic is the challenges and successes of individuals with autism in the working world.
10,Autism,an Associate,San Diego State University,Law,9 months,"Have any of y’all sought accommodations related to your mental health diagnoses like ADHD, Autism, OCD, etc.?
What types of accommodations? Was it hard to secure? Has it helped?",6,13,4,2024-09-19 20:32:25,https://www.fishbowlapp.com/post/have-any-of-yall-sought-accommodations-related-to-your-mental-health-diagnoses-like-adhd-autism-ocd-etc-what-types-of-accommodations-nrcf-5,10,No hashtags found,Autism,No.,Mental health accommodations.,Yes.,No.,No.,No.,No.,No.,No.,"The main topic is seeking accommodations for mental health diagnoses such as ADHD, Autism, and OCD."
