Neurodiversity	Posted By	Employer	Time Posted	Content	Reactions	Timestamp Collected	Post URL	Hierarchy	Post ID	Comment ID,Neurodiversity,Posted By,Employer,Time Posted,Content,Reactions,Timestamp Collected,Post URL,Hierarchy,Post ID,Comment ID
,Autism,Other,a Learning and Development Consultant 1,a month,"Could you unpack what you mean by “concerns about appearances?”

I had a manager disclose her ADHD to me and while it wasn’t relevant to anything specific we were discussing right then, it was helpful for me to know when determining how to tackle other things that came up.",9,2024-09-19 20:28:22,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,1.0
,Autism,Author,Authora Human Resources Manager,a month,"This particular EE handles a part of the scheduling and dispatch operations for the company. Unfortunately, the CEO also overheard this in a phone conversation and is worried that customers will view the company negatively (basically discriminate) due to the employee’s comment and take their business elsewhere. I have already assured the CEO of the likelihood a comment affecting any business operations or revenue but as I said in another comment, I want to of course support the EE but also notate the proper work behaviors/conversations.","1
reactions",2024-09-19 20:28:22,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,2.0,1.0,2.0
,Autism,Author,Authora Human Resources Manager,a month,"This particular EE handles a part of the scheduling and dispatch operations for the company. Unfortunately, the CEO also overheard this in a phone conversation and is worried that customers will view the company negatively (basically discriminate) due to the employee’s comment and take their business elsewhere. I have already assured the CEO of the likelihood a comment affecting any business operations or revenue but as I said in another comment, I want to of course support the EE but also notate the proper work behaviors/conversations.",1,2024-09-19 20:28:22,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,3.0
,Autism,Author,a Seniorhr Generalist 1,a month,"How do you know about the employee disclosing it “at every opportunity”? Is that your direct observation, or what has been relayed to you by others (ex. their manager). In the latter case, it’s possible someone’s own bias is affecting the way they’re viewing and reporting the situation. Basically, like any other ER situation, take it with a grain of salt and go in assuming you don’t know the whole story.

I’d say to approach with curiosity and care. Make the context that you’re aware this has come up recently (choose wording based on whether you directly or indirectly know) and want to check whether they need any accommodations and make sure they’re aware of that process in the event that they do. It’s possibly they’ll ask for an accommodation that explains why it’s come up in conversations recently. If they don’t, you could gently press to mention that it’s been brought to your attention that it’s come up in a few conversations recently and you want to check whether that’s because they’re noticing needing an accommodation.

If the answer is still no, you could ask about their perspective on those conversations and hear their side of the story. I would NOT say anything about appearances. The fact that’s a concern that’s been raised has me more concerned about discrimination on the part of whoever raised it.",14,2024-09-19 20:28:23,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,4.0
,Autism,Other,an Executive Director 1,a month,💯,,2024-09-19 20:28:23,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,2.0,1.0,5.0
,Autism,Other,"a Director, Human Resources 1",a month,100%. This is a situation that needs to be approached with the intent to help and support this employee to continue to be successful in their role.,"2
reactions",2024-09-19 20:28:23,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,3.0,1.0,6.0
,Autism,Author,Authora Human Resources Manager,a month,"For clarity, this situation has been ongoing for a little over two months. I’ve been told about this issue in conversation by multiple individuals that work in proximity to the EE. Also, sharing of personal information was not a habit of this EE prior to the diagnosis. I have taken an observational approach to this situation as the EE has not addressed the topic with HR. I myself have even checked in with the EE on multiple occasions prior to and following this development as the employees is still somewhat new to the org. Even when presented with opportunity, the EE has not noted anything with HR. However, I am now getting involved because the CEO is concerned that customers will discriminate against the company because of the comments being made (yes, I know that’s stupid). I’ve done my best to assure the CEO of how unlikely something like this will affect customer loyalty (not that they listen). Anyways, I’d prefer to have the conversation and figure out what the EE needs, address the concerns, and hopefully contain the situation in a mindful way.","1
reactions",2024-09-19 20:28:23,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,4.0,1.0,7.0
,Autism,Other,a HR Generalist 1,a month,"I am HRG i have been working as HRG for 4 years now. I wanted apply in different company and see other opportunity's Is anyone knows anyone or can give me the link so that i can apply for the HRG.

Thank you.","1
reactions",2024-09-19 20:28:23,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,5.0,1.0,8.0
,Autism,Other,a HR Generalist 1,a month,"I am HRG i have been working as HRG for 4 years now. I wanted apply in different company and see other opportunity's Is anyone knows anyone or can give me the link so that i can apply for the HRG.

Thank you.",1,2024-09-19 20:28:23,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,9.0
,Autism,Other,an Executive Director 1,a month,Anything besides support and accommodation is asking for a lawsuit,27,2024-09-19 20:28:23,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,10.0
,Autism,Author,Authora Human Resources Manager,a month,Thanks. That’s what I plan to center the meeting around but was looking for a nice way to also correct the behavior where they are making a point of it with everyone they speak to.,"8
reactions",2024-09-19 20:28:24,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,2.0,1.0,11.0
,Autism,Author,Authora Human Resources Manager,a month,Thanks. That’s what I plan to center the meeting around but was looking for a nice way to also correct the behavior where they are making a point of it with everyone they speak to.,8,2024-09-19 20:28:24,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,12.0
,Autism,Author,a HR Manager 1,a month,"I would tell the employee that HR is there to support him and offer any accommodations necessary due to his condition. However, I would also tell him that his autism is not a relevant part of his job and that he should not talk about it to other employees and customers. It isn't necessary. If he stubbed his toe last night, he doesn't have to go around telling everyone how he stubbed his toe. Tell him that when working, he should limit his conversations to work-related items. If he has an issue related to his condition, then he should notify HR so we can help him.",44,2024-09-19 20:28:24,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,13.0
,Autism,Other,an Executive Director 1,a month,Would you tell someone they can't tell ppl they're gay?,"9
reactions",2024-09-19 20:28:24,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,2.0,1.0,14.0
,Autism,Other,a Payroll Benefits Specialist 1,a month,"ED1, yes. It goes with ""keep the conversation work-related"". Providing an accomodation doesn't mean you have to allow them to discuss their personal business with the customers. I would be really weary of an employee that felt it was necessary to discuss their sexual orientation with customers, what's your motive and what outcome are you looking for? Same thing here, what do you expect from telling them your medical information?","7
reactions",2024-09-19 20:28:24,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,3.0,1.0,15.0
,Autism,Other,an Executive Director 1,a month,"Lol good thing you work in payroll and not employee relations. I was asking a hypothetical question, of course you can't tell ppl they can't be out at work 😂","7
reactions",2024-09-19 20:28:24,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,4.0,1.0,16.0
,Autism,Author,Authora Human Resources Manager,a month,"Thanks, this is what I was looking for because I cannot understand the need to tell everyone.","2
reactions",2024-09-19 20:28:24,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,5.0,1.0,17.0
,Autism,Other,EY 1,a month,"Hey Payroll.. maybe the client asked what they are doing on their vacation or holidays (nice, normal question). Should the queer person not say I'm spending the holidays with my wife/husband/partner and her family?","1
reactions",2024-09-19 20:28:24,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,6.0,1.0,18.0
,Autism,Other,a Payroll Benefits Specialist 1,a month,"Of course that's not what I meant. I assume ED1 was referring to the original topic, as in this came up unprompted, not a hypothetical. OP expressed concern, which can absolutely be addressed appropriately even if they are protected or require an accomodation. I also don't waste time correcting people who discount others opinions based on a title, like ED1 did, which is why I didn't clarify 😊","4
reactions",2024-09-19 20:28:25,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,7.0,1.0,19.0
,Autism,Other,an Executive Director 1,a month,Yeah except you literally said yes same thing for sexual orientation. And no you can't treat them differently.,"1
reactions",2024-09-19 20:28:25,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,8.0,1.0,20.0
,Autism,Other,a Human Resources Manager 1,a month,ED1 should you be giving advice when you can’t spell out PEOPLE ??,"2
reactions",2024-09-19 20:28:25,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,9.0,1.0,21.0
,Autism,Other,an Executive Director 1,a month,"😂 I'm sorry, there's only Executive Director 1 here, no idea who you're talking about","4
reactions",2024-09-19 20:28:25,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,10.0,1.0,22.0
,Autism,Other,a Director of Human Resources 1,a month,"This is spot on, but I'd be careful about instructing him that he can't discuss it with other employees. I would just say that bringing personal/medical issues with customers isn't professional.","6
reactions",2024-09-19 20:28:25,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,11.0,1.0,23.0
,Autism,Other,Orchard Hospital 1,a month,"I wouldn’t tell the employee that he can’t discuss about his condition with other employees even if you decide to do that be very mindful of your wording.
Thank you","5
reactions",2024-09-19 20:28:25,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,12.0,1.0,24.0
