Neurodiversity,Posted By,Employer,Time Posted,Content,Reactions,Timestamp Collected,Post URL,Hierarchy,Post ID,Comment ID
Bipolar,Other,a Consultant 2,8 months,"Bipolar disorder is highly treatable if the person actually takes care of themselves. Does she? I would not run but would ask her to really help you understand how bad can/ does it get? What does it look like for her when things are bad? What can u do to support her during those times? What are the things she's learned help her stay stable?

If she told you, that's a good sign. Find out if she's in therapy, etc. absolutely can't go untreated.",31,9/20/24 11:34,https://www.fishbowlapp.com/post/new-almost-gf-told-me-shes-diagnosed-with-bipolar-type-2-should-i-be-understanding-and-be-okay-with-that-or-should-i-run-dont-wanna,1,1,1
Bipolar,Other,a Consultant 2,8 months,It’s only treatable if the symptoms are mild. My ex divorced his after five years of constant entering and recentering of emergency psychiatric hospital,"2
reactions",9/20/24 11:34,https://www.fishbowlapp.com/post/new-almost-gf-told-me-shes-diagnosed-with-bipolar-type-2-should-i-be-understanding-and-be-okay-with-that-or-should-i-run-dont-wanna,2,1,2
Bipolar,Other,PwC 1,8 months,"This isn't actually true, even severe cases can be treatable. It's not about severity necessarily. Of course when it gets past a certain point it absolutely can become untreatable. I do have an uncle who is wayyyyy past treatment being helpful. But to get to this point it's likely that the person was not taking care of themself or recognizing warning signs.","3
reactions",9/20/24 11:34,https://www.fishbowlapp.com/post/new-almost-gf-told-me-shes-diagnosed-with-bipolar-type-2-should-i-be-understanding-and-be-okay-with-that-or-should-i-run-dont-wanna,3,1,3
Bipolar,Other,PwC 1,8 months,"This isn't actually true, even severe cases can be treatable. It's not about severity necessarily. Of course when it gets past a certain point it absolutely can become untreatable. I do have an uncle who is wayyyyy past treatment being helpful. But to get to this point it's likely that the person was not taking care of themself or recognizing warning signs.",3,9/20/24 11:34,https://www.fishbowlapp.com/post/new-almost-gf-told-me-shes-diagnosed-with-bipolar-type-2-should-i-be-understanding-and-be-okay-with-that-or-should-i-run-dont-wanna,1,1,4
Bipolar,Other,an Assistant Director - Delivery Manager 1,8 months,"Wow, I'm amazed at the number of people saying run. Especially since it's 2024, and people are finally more open about their mental health. It must have taken so much courage for her to share her diagnosis with you.

I personally have it and have been medicated since diagnosis in 2018. It takes some trial and error to find the right medications, but once you are all good, you are set to succeed in life.

We are capable of love and just have slightly stronger emotions than the average person. I have been with my husband since 2015, and he has helped me through this diagnosis and overcome obstacles. If you are ready to dedicate yourself 100% to her and be there for her through her ups and downs, you will have a huge sense of fulfillment.

Most people with BP2 sit mostly in depressive phases as opposed to hypomania, but it depends on the person. If you have any questions at all, please feel free to DM me.",98,9/20/24 11:34,https://www.fishbowlapp.com/post/new-almost-gf-told-me-shes-diagnosed-with-bipolar-type-2-should-i-be-understanding-and-be-okay-with-that-or-should-i-run-dont-wanna,1,1,5
Bipolar,Other,Deloitte 3,8 months,You're an exception. Most bipolar people don't make it to assistant directors,"6
reactions",9/20/24 11:34,https://www.fishbowlapp.com/post/new-almost-gf-told-me-shes-diagnosed-with-bipolar-type-2-should-i-be-understanding-and-be-okay-with-that-or-should-i-run-dont-wanna,2,1,6
Bipolar,Other,an Assistant Director - Delivery Manager 1,8 months,@D3. I wouldn't have made it here without the wholehearted support of my husband plus the medication. It's possible to accomplish big things when you are stable and well medicated.,"20
reactions",9/20/24 11:34,https://www.fishbowlapp.com/post/new-almost-gf-told-me-shes-diagnosed-with-bipolar-type-2-should-i-be-understanding-and-be-okay-with-that-or-should-i-run-dont-wanna,3,1,7
Bipolar,Other,an Associate Creative Director 1,8 months,"Yeah people are being very cruel on here. People with bipolar can be very different from each other, and I know of people who live normal lives when it’s treated, so it’s ignorant for people to be shaming and saying “run”","9
reactions",9/20/24 11:34,https://www.fishbowlapp.com/post/new-almost-gf-told-me-shes-diagnosed-with-bipolar-type-2-should-i-be-understanding-and-be-okay-with-that-or-should-i-run-dont-wanna,4,1,8
Bipolar,Other,PwC 2,8 months,2024 doesn't mean that marrying someone with a known mental issue won't ruin your life. It sounds d***y but is a sane practical move. I know a few people who lost peace in their life because their partner is dealing with a mental issue. They had to take up something of their own like alcoholism to deal with this kind of constant stress.,"13
reactions",9/20/24 11:34,https://www.fishbowlapp.com/post/new-almost-gf-told-me-shes-diagnosed-with-bipolar-type-2-should-i-be-understanding-and-be-okay-with-that-or-should-i-run-dont-wanna,5,1,9
Bipolar,Other,Deloitte 5,8 months,"You guys criticizing the people with mental illness are so pathetic. You guys aren’t the ones with the debilitating, crippling illness, yet you’re complaining like you are the victim. Grow the fuck up. 😘❤️","13
reactions",9/20/24 11:34,https://www.fishbowlapp.com/post/new-almost-gf-told-me-shes-diagnosed-with-bipolar-type-2-should-i-be-understanding-and-be-okay-with-that-or-should-i-run-dont-wanna,6,1,10
