Neurodiversity,Posted By,Employer,Time Posted,Content,Reactions,Timestamp Collected,Post URL,Hierarchy,Post ID,Comment ID
BPD,Other,American Credit Acceptance 1,6 months,Dialectical behavioral therapy is evidence-based and proven to help patients with BPD. That’s such a tough diagnosis. Here’s to hoping you and your partner can get some help.,2,9/20/24 14:19,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,1
BPD,Other,an Administrative 1,6 months,"I wouldn’t say anyone “gets better”, but it can be managed with the proper therapy and medication.",2,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,2
BPD,Other,a Manager 1,6 months,"My mom had BPD. She got worse and worse. One day she flipped on my dad as they do with the black and white thinking and decided he was all evil. I don't think any enemy in the world could've done more damage to another human being than she did to him. He dropped dead at 60 from heart failure because of all the stress and fear destroying his heart from all the evil things she did. My siblings and I were collateral damage and terribly harmed by her evil actions too. But she didn't care who else got hurt so long as she could hurt our dad it became her singular goal and obsession.

She mellowed out a bit in her late 50s as is usually with borderlines, but by then my dad was dead and I and my siblings childhoods were destroyed and we were given lifelong deep psychological wounds and a ton of traumatic memories.

If you haven't bred with her yet RUUUUUUN! If you have already bred with her your life needs to be about protecting the innocent lives you created from that monster.",12,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,3
BPD,Other,a Manager 1,6 months,"Btw my father was the kindest, most gentle and generous man in the world. He did nothing to deserve that, but the borderlines aren't rational their mental illness one day tells them a person they formerly put on a pedastle is now evil and no amount of evidence to the contrary will ever persuade them of the truth. Though the truth was that he was an incredible person and she was desperately mental ill and needed to have her children taken away from her because she was so unstable they weren't safe. I lived in the worst state for falter's rights in the country but even that state eventually granted my father full custody, which is almost impossible to get in that state.","7
reactions",9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,2,1,4
BPD,Other,Boston Consulting Group 1,6 months,I’m so sorry that you and your family went through this heartbreak :(,"1
reactions",9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,3,1,5
BPD,Other,Google 1,6 months,You and your siblings were strong too for recognizing it. So many families groomed by these cluster B parents don't realize it or the damage they do until much later. I'm sure your Dad was proud of you.,"2
reactions",9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,4,1,6
BPD,Other,a Senior Manager 2,6 months,"My husband had a very similar upbringing and his dad also finally got full custody of him/Sibling and only time with his mom was supervised visitation. My husband ultimately made the decision to no longer have contact with his biological mom after he turned 18. It's incredibly hard to hear the stories and what he experienced as a child and for him to reconcile what she did with knowing that somewhere in her heart she loved him has definitely been hard. At one point his mom tried to drive her car into the lake with him and his Sibling in the backseat but someone saw her do that and called the cops, so luckily they were OK. BPD and mental health issues are hard.",,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,5,1,7
BPD,Other,a Management Consultant 2,6 months,"Hugs from another human that grew up with a mother with BPD 🫂 🫂 🫂
The trauma and damage is hard to explain to anyone who hasn’t witnessed it","3
reactions",9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,6,1,8
BPD,Other,a Management Consultant 2,6 months,"Hugs from another human that grew up with a mother with BPD 🫂 🫂 🫂
The trauma and damage is hard to explain to anyone who hasn’t witnessed it",3,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,9
BPD,Other,Boston Consulting Group 1,6 months,"M1 unfortunately hit it on the nail. My father has BPD and I was the target for 20 years until I cut him off. He’s lost everyone and I guess is doing “better” because he has no one to lash out at? I feel for your wife, but unless she is in significant care with a skilled therapist .. I fear what those tendencies could do to a spouse over time. Wishing you all the best, OP - I’m still recovering from the trauma 14 years later and hope you do not land in the same position.",4,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,10
BPD,Other,a Manager 1,6 months,"Wow, these stories are intense. How exactly does BPD manifest? When you talk about the trauma and evil, what are some things that they actually did?",2,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,11
BPD,Other,Boston Consulting Group 1,6 months,"My father told me at 11 years old it should have been me that died over another relative. That’s a very PG example of the things he would say. Every time he’d say something horrendous, it’d be followed by some form of gaslighting, “I never said that” “get over it” “oh so I guess you think you’re perfect?”. I’m married now to the chillest individual, and had no idea how relaxing life at home could be, without someone constantly rocking the boat. The endless slamming doors, name calling, intimidation (sometimes physical) finally ended and the calm is just phenomenal now (without him in my life).","2
reactions",9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,2,1,12
BPD,Other,a Manager 1,6 months,"PwC1 What BCG1 said is accurate. The constant gaslighting is intense. I spent most of my childhood and young adulthood doubting my memories and sanity because she constantly tried to convince me I was crazy and that my memories were false and tried to implant fake memories. When I was in my early 20s I went on a mission to obtain all the court records, police reports, medical records, and interview all the adults from my childhood to verify that my memories were real and what happened was real.

Other examples she tried to kidnap my siblings and me once when my father was going to be out of town on a business trip, so I told my dad. As punishment she refused to acknowledge my existence (I was like 9 at the time) like wouldn't feed me or care for me and made all my siblings refuse to acknowledge my existence too and would have them all call me traitor as the only interaction they had with me. That lasted for a month then she acted like I was her favorite person in the world.

Borderlines need to have a scapegoat someone on the outs they can get everyone to abuse together, when Borderlines have multiple children the scapegoat can transition between 2 or more kids. My oldest sister was the golden child. My 2nd sister was usually the scapegoat. I was usually the Lost child. And my baby sibling was usually the clown. But us younger 3 all could sometimes be the Scapegoat our roles weren't as fixed as the oldest's.

It's like constant volatility in the relationship with a Borderline. When she would approach me I never knew if she was going to give me a hug, playfully tickle me while telling me jokes, or if she was going to knock me on the ground kick me when I was down and drag me to the basement by my hair to beat me more. She could even start by like tickling and joking with me but something in her diseased mind would get triggered and then she'd start beating me because in her mind I would become some terrible POS.

She could be the most alluring, fun, incredible, entertaining, charismatic woman in the world. Like a magical fairy. But then she'd flip because you became bad in her eyes and she could be the most cruel, violent, sadistic demon like she had waltzed directly out of h3ll. I almost think having a straight up malignant narcissist mother would've been easier as at least you always know what you're getting with that.","4
reactions",9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,3,1,13
BPD,Other,PwC 1,6 months,This is incredibly intense and I am so so sorry this was your experience growing up.,,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,4,1,14
BPD,Other,a Management Consultant 2,6 months,"Omg M1 that’s the most accurate description ever. I wouldn’t have been able to put all this into words. Bravo

When my mum was out for some hobby, my sisters and my dad would take guesses in which mood she’d arrive home. Would we have an amazing night? Or would someone have to call the police again?
One day we were her angels, and in the next moment she’d treat us like we came from the pits of hell. As a child you don’t understand, because nothing rational could’ve caused this kind of behaviour.

I’d advocate for BPD people to not be allowed to have children.","4
reactions",9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,5,1,15
BPD,Other,Deloitte 2,6 months,"This thread is super helpful, my secondary caretaker would physically and emotionally abuse me and say/do the same sort of stuff. I always thought she was a sociopath but reading this thread makes me wonder if she has BPD, I did EMDR for some of the abuse and highly recommend it.",,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,6,1,16
BPD,Other,Deloitte 2,6 months,"This thread is super helpful, my secondary caretaker would physically and emotionally abuse me and say/do the same sort of stuff. I always thought she was a sociopath but reading this thread makes me wonder if she has BPD, I did EMDR for some of the abuse and highly recommend it.",,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,17
BPD,Other,a Senior Manager 1,6 months,My wife is married to one. No it doesn’t,,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,18
BPD,Other,a Management Consultant 1,6 months,You?,,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,2,1,19
BPD,Other,a Senior Manager 1,6 months,Yeah,,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,3,1,20
BPD,Other,PwC 1,6 months,Wow. Tell us how this manifests for you?,,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,4,1,21
BPD,Other,PwC 1,6 months,Wow. Tell us how this manifests for you?,,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,22
BPD,Other,Deloitte 1,6 months,My mom likely has it. It’s helped knowing what to call it because now I can separate her from her mental illness. She still says and does hurtful things but I know when it’s her BPD talking vs the other side of her.,1,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,23
BPD,Other,an Account Executive 1,6 months,"If you don’t want to be married anymore, let your spouse go. It’s unfair to them and to you to stay in a marriage that is unfulfilling, regardless of their diagnosis.",2,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,24
BPD,Other,an Associate 1,6 months,They can get better if they really want to but it’s rare. The work that it takes to get better is very difficult and emotionally painful. I know someone who did get better.,1,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,25
BPD,Other,a Senior Manager 3,6 months,"My husband’s ex has borderline personality disorder and narcissistic personality disorder. They’ve been divorced for 5 years, but he still has to coparent with her which is extremely challenging. He also has to pay her an exorbitant amount of money because she refused to sign the divorce papers and continued to spend around $20k a month on credit cards, and he finally couldn’t take it anymore and was contemplating suicide (note: he’s the happiest and most positive person I’ve ever met).

There is no “cure” for Cluster B personality disorders. It’s not like there’s a magic pill to make it all better. The best they can do is get consistent therapy and work on themselves. Unfortunately many think they are great and everyone else is the problem so they’re not incentivized to seek therapy.

If you’re in a position where you can and are willing to leave, trust your gut and do it.",1,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,26
BPD,Other,a Solutions Architect 1,6 months,"I was and it was horrible ride of 3 years, suspicion though out that I wa shaving affairs . Would go through my phone records emails , contact my friends and family , control my every move , stalk and isolate me. Until it got to a level of my personal safety .
Needless to say after filing for divorce it was another hell
Of a 3 year rode and 200k in litigation and character assassination .
Finally I was
Free when he got another victim his new wife to obsess over and make her life hell.
She ran away too.",1,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,27
BPD,Other,a Solutions Architect 1,6 months,"Anyone else think there is a spectrum for BPD and some people on the edge of spectrum are just rotten to their core, selfish and mean people? As in - not a disease they can’t control. Definitely think some people are just selfish and too prideful to change their ways. I know in the last 100 years we’ve come up with ways to name these patterns of behavior but hundreds of years ago these people existed and were just bad people who needed to be humble and change. They weren’t “struggling” with a mental illness",,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,28
BPD,Other,a Solutions Architect 1,6 months,They are plain evil . The sort of manipulation and entitlement is demonic,,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,2,1,29
BPD,Other,a Solutions Architect 1,6 months,They are plain evil . The sort of manipulation and entitlement is demonic,,9/20/24 14:20,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1,1,30
