Neurodiversity,Posted By,Employer,Time Posted,Content,Reactions,Timestamp Collected,Post URL,Hierarchy,Post ID,Comment ID
Dyslexia,Other,an Associate 2,9 months,Not the same but check out the Lawyers with ADHD bowl as well,1,9/20/24 14:36,https://www.fishbowlapp.com/post/anyone-here-with-dyslexia-or-am-i-the-only-crazy-one-attempting-this-i-have-minor-dyslexia-and-have-small-typos-in-email-that-i,1,1,1
Dyslexia,Other,an Associate 1,9 months,F,1,9/20/24 14:36,https://www.fishbowlapp.com/post/anyone-here-with-dyslexia-or-am-i-the-only-crazy-one-attempting-this-i-have-minor-dyslexia-and-have-small-typos-in-email-that-i,1,1,2
Dyslexia,Other,an Associate Attorney 1,9 months,Any chance your firm lets you use proofreading software?,4,9/20/24 14:36,https://www.fishbowlapp.com/post/anyone-here-with-dyslexia-or-am-i-the-only-crazy-one-attempting-this-i-have-minor-dyslexia-and-have-small-typos-in-email-that-i,1,1,3
Dyslexia,Author,Authoran Associate,9 months,I do that. But when I’m on the go and responding to email on phone it happens. And sometimes proofreaders don’t pick up legalese,,9/20/24 14:36,https://www.fishbowlapp.com/post/anyone-here-with-dyslexia-or-am-i-the-only-crazy-one-attempting-this-i-have-minor-dyslexia-and-have-small-typos-in-email-that-i,2,1,4
Dyslexia,Other,an Associate 9,9 months,"PerfectIt has a legal proofreading format if you’re interested. It’s really helpful for formatting and little legalese nits. Not so helpful on the go. I also like the read aloud function on word, saved me a lot of times","1
reactions",9/20/24 14:36,https://www.fishbowlapp.com/post/anyone-here-with-dyslexia-or-am-i-the-only-crazy-one-attempting-this-i-have-minor-dyslexia-and-have-small-typos-in-email-that-i,3,1,5
Dyslexia,Other,an Associate 9,9 months,"PerfectIt has a legal proofreading format if you’re interested. It’s really helpful for formatting and little legalese nits. Not so helpful on the go. I also like the read aloud function on word, saved me a lot of times",1,9/20/24 14:36,https://www.fishbowlapp.com/post/anyone-here-with-dyslexia-or-am-i-the-only-crazy-one-attempting-this-i-have-minor-dyslexia-and-have-small-typos-in-email-that-i,1,1,6
Dyslexia,Other,an Associate 3,9 months,Just an fyi - it may be an issue if you are recording calls without others knowledge,5,9/20/24 14:36,https://www.fishbowlapp.com/post/anyone-here-with-dyslexia-or-am-i-the-only-crazy-one-attempting-this-i-have-minor-dyslexia-and-have-small-typos-in-email-that-i,1,1,7
Dyslexia,Other,an Associate 2,9 months,Depending on the jurisdiction yes,,9/20/24 14:36,https://www.fishbowlapp.com/post/anyone-here-with-dyslexia-or-am-i-the-only-crazy-one-attempting-this-i-have-minor-dyslexia-and-have-small-typos-in-email-that-i,2,1,8
Dyslexia,Other,an Associate 4,9 months,"Some firms have policies against recording even if allowed in the state, FYI.

My brother in law is dyslexic and in accounting. He downloaded a font specifically designed for dyslexia and said it made reading electronic docs a little easier.","5
reactions",9/20/24 14:36,https://www.fishbowlapp.com/post/anyone-here-with-dyslexia-or-am-i-the-only-crazy-one-attempting-this-i-have-minor-dyslexia-and-have-small-typos-in-email-that-i,3,1,9
Dyslexia,Other,an Associate 7,9 months,"Yeah, I know someone who got fired for exactly this. I’d stop recording calls immediately",,9/20/24 14:36,https://www.fishbowlapp.com/post/anyone-here-with-dyslexia-or-am-i-the-only-crazy-one-attempting-this-i-have-minor-dyslexia-and-have-small-typos-in-email-that-i,4,1,10
