Neurodiversity,Posted By,Employer,Time Posted,Content,Reactions,Timestamp Collected,Post URL,Hierarchy,Post ID,Comment ID
OCD,Other,EY 1,7 months,nah you’re fine,,9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,1,1,1
OCD,Other,Santander Private Banking International 1,7 months,I’d say like any job try to find that group or person that is able to withstand critic of the organization and leave let rest see your positivity and charm,1,9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,1,1,2
OCD,Other,a Managing Director 1,7 months,There’s always some truth,,9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,1,1,3
OCD,Other,a Senior Director 1,7 months,Seems like a weird thing to joke about in general. How often do you make jokes about this?,4,9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,1,1,4
OCD,Author,Author works at Deloitte,7 months,Not often just saying stuff like “I’m very OCD about the formatting of my spreadsheet”,,9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,2,1,5
OCD,Other,a Manager 2,7 months,Do you also say things like I’m very diabetic about my sugar intake?,"2
reactions",9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,3,1,6
OCD,Author,Author works at Deloitte,7 months,No but when people lose focus they’ll say “sorry that my ADD can you say that again,,9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,4,1,7
OCD,Other,a Manager 2,7 months,OP so it’s fine if you joke about mental illnesses you don’t have but weird when it’s a physical disease?,"4
reactions",9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,5,1,8
OCD,Other,KPMG 1,7 months,"Yes, but….I make “jokes” about my ADD, but I think I actually have undiagnosed ADD. I wouldn’t make a joke about a disability I don’t have.","4
reactions",9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,6,1,9
OCD,Other,a Senior Associate 1,7 months,M2 are you that bothered when people that aren't alcoholics joke about being alcoholics?,,9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,7,1,10
OCD,Other,a Manager 2,7 months,"SA1 yeah actually, I think that’s pretty gross too as is the mommy wine culture that makes a joke of alcoholism and almost excuses how serious it is.","3
reactions",9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,8,1,11
OCD,Other,Deloitte 1,7 months,M2 seems like a blast to be around,"1
reactions",9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,9,1,12
OCD,Other,a Manager 2,7 months,D1 I am. It’s really not that hard to have a great time and not use illnesses as material for humor. Seems pretty boring if you can’t have a good time without that.,"4
reactions",9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,10,1,13
OCD,Other,a Senior Associate 1,7 months,"M2 honestly I think you just need to learn to let it go. I have OCD and ADHD too, I've survived brain cancer, and I'm a recovered addict/alcoholic but I don't let peoples' jokes get me down. I like to make my own joke out of it for example when someone says what are you brain damaged I say ya I am and I'm working the same exact job as you, or and I make more money than you, or whatever. You choose to let the things other people say make you feel bad about yourself. No one can make you feel inferior without your consent.","4
reactions",9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,11,1,14
OCD,Other,a Manager 2,7 months,SA1 wtf are you even talking about? Thinking the jokes are rude doesn’t mean I think I’m inferior or that the jokes make me feel bad. It makes me think the person making the joke is ignorant if they’re so casually joking and making light about an illness they don’t have. You can think it’s funny all you want. We don’t have to all share one opinion. It’d be awfully boring if we did.,"3
reactions",9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,12,1,15
OCD,Other,McKinsey & Company 1,7 months,Thanks guys - good thread! 🪡,"1
reactions",9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,13,1,16
OCD,Other,PwC 3,7 months,It’s not a big deal at all. But you will offend some snow flakes,"1
reactions",9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,14,1,17
OCD,Other,PwC 3,7 months,It’s not a big deal at all. But you will offend some snow flakes,1,9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,1,1,18
OCD,Other,a Manager 1,7 months,"Self deprecating humor is dangerous in consulting bc if someone doesn’t like/is threatened by you, they will use it against you",1,9/20/24 12:02,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,1,1,19
