Neurodiversity,Posted By,Employer,Time Posted,Content,Reactions,Timestamp Collected,Post URL,Hierarchy,Post ID,Comment ID
Schizophrenia,Other,an Administrative 1,2 months,"Neither, don't confirm or deny, but validate some feelings if you can. It's hard for a trained professional to calmly talk someone out of a delusion, dont try it. It can make things much worse. On the flip side, you don't want to give in to it and have them believe what they are experiencing is real. It's a tough and fine line to support someone neutrally.

Get help for yourself on how to deal, and see if your mother is open to help while having moments of clarity. Schizophrenia doesn't get better but can be managed if someone is willing to medicate, and that is also a rough process because different medications work differently on different people. Then it has to be monitored, sometimes switched. Not to mention a lot of schizophrenics stop taking it when the medication does the job and they aren't having delusions because they feel they don't need it, then go back to a manic state.",,9/20/24 14:11,https://www.fishbowlapp.com/post/my-mother-was-diagnosed-with-schizophrenia-and-it-has-been-one-of-the-hardest-things-when-she-gets-psychotic-i-dont-know,1,1,1
Schizophrenia,Other,an Events Technology Manager 1,2 months,"Hot take: If the person is experiencing it, it's real. Usually, all the thoughts are about harmful or scary stuff.

I had an ex who literally used to see dead people like the Sixth Sense movie, usually when we were travelling. It would freak him out suddenly. As human beings, made in God's image, we technically have authority over the spirit world. For those who follow Jesus, there's specific protection/freedom available if it's exercised. All that is to say, I explained this to him, told him to tell the apperitions to go away and not return. He did and they didn't come back.",4,9/20/24 14:11,https://www.fishbowlapp.com/post/my-mother-was-diagnosed-with-schizophrenia-and-it-has-been-one-of-the-hardest-things-when-she-gets-psychotic-i-dont-know,1,1,2
Schizophrenia,Other,an Attorney 1,2 months,"I am also a Christian, but schizophrenia is a mental health issue, not actual demons. If it were demons, medication wouldn’t be effective to make the hallucinations go away (and it is).","3
reactions",9/20/24 14:11,https://www.fishbowlapp.com/post/my-mother-was-diagnosed-with-schizophrenia-and-it-has-been-one-of-the-hardest-things-when-she-gets-psychotic-i-dont-know,2,1,3
Schizophrenia,Other,Google 1,2 months,"^ +1 - While I do believe there are real spiritual powers out there, Schizophrenia is objectively a chemical imbalance in the brain and a biological disease. The Good Lord gave us medicine as a means to treat it, we should encourage using it.","1
reactions",9/20/24 14:11,https://www.fishbowlapp.com/post/my-mother-was-diagnosed-with-schizophrenia-and-it-has-been-one-of-the-hardest-things-when-she-gets-psychotic-i-dont-know,3,1,4
Schizophrenia,Other,Google 1,2 months,"^ +1 - While I do believe there are real spiritual powers out there, Schizophrenia is objectively a chemical imbalance in the brain and a biological disease. The Good Lord gave us medicine as a means to treat it, we should encourage using it.",1,9/20/24 14:11,https://www.fishbowlapp.com/post/my-mother-was-diagnosed-with-schizophrenia-and-it-has-been-one-of-the-hardest-things-when-she-gets-psychotic-i-dont-know,1,1,5
Schizophrenia,Other,a Director 1,2 months,Get thee to a therapist to help you work out tactics and responses that are good for you.,5,9/20/24 14:11,https://www.fishbowlapp.com/post/my-mother-was-diagnosed-with-schizophrenia-and-it-has-been-one-of-the-hardest-things-when-she-gets-psychotic-i-dont-know,1,1,6
Schizophrenia,Other,a Director 1,2 months,Not a therapist. Psychiatrist.,,9/20/24 14:11,https://www.fishbowlapp.com/post/my-mother-was-diagnosed-with-schizophrenia-and-it-has-been-one-of-the-hardest-things-when-she-gets-psychotic-i-dont-know,2,1,7
Schizophrenia,Other,a Director 1,2 months,Not a therapist. Psychiatrist.,,9/20/24 14:11,https://www.fishbowlapp.com/post/my-mother-was-diagnosed-with-schizophrenia-and-it-has-been-one-of-the-hardest-things-when-she-gets-psychotic-i-dont-know,1,1,8
Schizophrenia,Other,Bain & Company 1,2 months,"There are resources for this. Idea is not to encourage but also not to invalidate. Phrases like “I can’t see it that way but it sounds scary, I’m sorry” for example.",3,9/20/24 14:11,https://www.fishbowlapp.com/post/my-mother-was-diagnosed-with-schizophrenia-and-it-has-been-one-of-the-hardest-things-when-she-gets-psychotic-i-dont-know,1,1,9
Schizophrenia,Other,a Senior Manager 1,2 months,I’m not sure who laughed at this post and why. I’m so sorry you have to deal with that. Please consult with professionals who specialize in this. You can supplement that with free online resources so you can learn how to manage it.,3,9/20/24 14:11,https://www.fishbowlapp.com/post/my-mother-was-diagnosed-with-schizophrenia-and-it-has-been-one-of-the-hardest-things-when-she-gets-psychotic-i-dont-know,1,1,10
