Neurodiversity,Posted By,Employer,Post Type,Time Posted,Content,Likes,Comments,Shares,Timestamp Collected,Post URL,Post ID
ADHD,a Manager 1,San Diego State University,Confession,4 months,"Really annoyed by the sexism in healthcare. They do NOT test medications on women, so we don't know what side effects they'll cause in women. I didn't know that an ADHD med I was prescribed when I was 7 right after it was FDA approved had never been tested on female patients. I didn't know that when I went through puberty at 11 and started having horrific periods with extreme blood loss that my adhd med caused it. I didn't know that my periods miraculously got better b/c I stopped taking it Cont",54.0,186.0,7.0,2024-09-17 20:52:03,https://www.fishbowlapp.com/post/really-annoyed-by-the-sexism-in-healthcare-they-do-not-test-medications-on-women-so-we-dont-know-what-side-effects-theyll,1
ADHD,an Analyst,San Diego State University,Tech,a year,Got put on a 30 day coaching plan at American Express / Amex . Is this the same as PIP? Will I get fired in 30 days if things don’t improve? I have ADHD & have been struggling to perform at the potential I know I can. My manager puts me down a lot and makes me feel dumb. I’m feeling very disheartened and low about myself. It’s my first job and only been there a year. Should I start looking elsewhere ? What should I do? Has anyone gotten a coaching plan at American Express before ? PLS HELP,52.0,75.0,17.0,2024-09-17 20:53:59,https://www.fishbowlapp.com/post/got-put-on-a-30-day-coaching-plan-at-american-express-amex-is-this-the-same-as-pip-will-i-get-fired-in-30-days-if-things-dont-improve,2
ADHD,an Associate Creative Director,San Diego State University,Advertising,a year,"I’m curious to know how many people working in advertising are neurodivergent. Especially in creative departments. Is anyone here autistic (wether officially diagnosed or undiagnosed) or have ADHD?
I have a feeling that this industry over indexes in neurodiversity.",33.0,92.0,5.0,2024-09-17 20:54:51,https://www.fishbowlapp.com/post/im-curious-to-know-how-many-people-working-in-advertising-are-neurodivergent-especially-in-creative-departments-is,3
ADHD,a Human Resource,San Diego State University,Interview Tips,10 months,"Ive noticed lots of recruiters offering to support accommodations before an interview but nothing outside of, “please let me know if you require any accommodations etc..”. Curious to know your thoughts if someone were to share they had ADHD and would appreciate if they could provide the types of interview questions or competencies ahead of time? Or would allow to take short quick notes during the interview? Or do you think they would receive this poorly?",180.0,32.0,6.0,2024-09-17 20:55:56,https://www.fishbowlapp.com/post/ive-noticed-lots-of-recruiters-offering-to-support-accommodations-before-an-interview-but-nothing-outside-of-please-let,4
ADHD,a Senior Art Director,San Diego State University,ADHD Professionals,a year,"When applying for a job and it asks if you have a disability (aka ADHD), what does everyone usually answer with? Yes? No? Or would you rather not say?",16.0,61.0,1.0,2024-09-17 20:56:26,https://www.fishbowlapp.com/post/when-applying-for-a-job-and-it-asks-if-you-have-a-disability-aka-adhd-what-does-everyone-usually-answer-with-yes-no-or-would,5
ADHD,a Legal Assistant,San Diego State University,Confession,8 months,"I’ve been crying for the last hour and can’t seem to stop. My 26-year-old daughter was diagnosed with autism and ADHD and is currently in therapy, which is helping her. However, we talked to her therapist earlier tonight and he told us that “developmentally” she’s 17. I’m so upset because no mother wants their child to struggle in life, and obviously also because we never even considered anything like this when she was younger. We had no clue. I just feel so bad for her and for not knowing.",12.0,27.0,1.0,2024-09-17 21:14:44,https://www.fishbowlapp.com/post/ive-been-crying-for-the-last-hour-and-cant-seem-to-stop-my-26-year-old-daughter-was-diagnosed-with-autism-and-adhd-and-is-currently,6
ADHD,a Consultant,San Diego State University,ADHD Professionals,a year,I have ADHD and it takes me like 2-3x longer to do the same work as someone else. What can I do to get work done more quickly and to succeed in the industry?,18.0,34.0,9.0,2024-09-17 21:15:14,https://www.fishbowlapp.com/post/i-have-adhd-and-it-takes-me-like-2-3x-longer-to-do-the-same-work-as-someone-else-what-can-i-do-to-get-work-done-more-quickly-and,7
ADHD,an Accountant,San Diego State University,ADHD Professionals,2 months,"I kind of hate when celebrities or famous people get diagnosed with ADHD and say it's a ""superpower."" Like I'm sure if I was rich enough to have a chef, an assistant, a trainer, someone who schedules everything for me, someone who picks out my clothes, and someone who drives me around, my ADHD would feel like a superpower too. Just feels kind of tone deaf in my opinion, what do you think?",52.0,33.0,5.0,2024-09-17 21:15:50,https://www.fishbowlapp.com/post/i-kind-of-hate-when-celebrities-or-famous-people-get-diagnosed-with-adhd-and-say-its-a-superpower-like-im-sure-if-i-was-rich,8
ADHD,a Senior Associate,San Diego State University,Accounting,2 months,"Any Sr. Mgrs+ with ASD and/or ADHD? How have you overcome such symptoms as difficulties with communication/connecting with people, juggling many projects, making sure nothing falls through the cracks, not being overwhelmed? Did your difficulties slow down your career progress? How has your firm supported you? I have AuDHD and was told my difficulties will limit my career growth. My LT plan isn't to make partner but I'm hoping to make Sr. Manager.",26.0,30.0,5.0,2024-09-17 21:16:27,https://www.fishbowlapp.com/post/any-sr-mgrs-with-asd-andor-adhd-how-have-you-overcome-such-symptoms-as-difficulties-with-communicationconnecting-with,9
ADHD,a Manager,San Diego State University,The Worklife Bowl,a year,"Background: precocious 8 y/o. Hyper, but average for many kids the same age.

Challenge: teacher pushing for ADD/ADHD screening. Further insisting on a specific practice that only accepts cash; no insurance.

Question: anyone else experience anything similar? Finding the teacher’s insistence unusual, boundary crossing, and potentially unethical and illegal.",16.0,35.0,1.0,2024-09-17 21:17:02,https://www.fishbowlapp.com/post/background-precocious-8-yo-hyper-but-average-for-many-kids-the-same-age-challenge-teacher-pushing-for-addadhd-screening,10
ADHD,an Associate Attorney 1,San Diego State University,Parents at Work,7 months,"I’m at a loss and maybe I just need a express my frustration. I am a step parent to one beautiful 8 yr girl for 4 years now. She’s been diagnosed with adhd, ODD and possibly has more mental health struggles. I feel burnt out, she does not listen, is extremely disrespectful to her mom and myself. Im worried for her and have fears of this behavior extending to adulthood. None of the gentle parenting or counselor suggest approaches work long term. Any suggestions?",9.0,31.0,,2024-09-17 21:17:28,https://www.fishbowlapp.com/post/im-at-a-loss-and-maybe-i-just-need-a-express-my-frustration-i-am-a-step-parent-to-one-beautiful-8-yr-girl-for-4-years-now-shes,11
ADHD,a Program Director 1,San Diego State University,Accounting,6 months,I’m curious how many people working in accounting are taking prescription medications for their mental health and/or to perform on the job. I recently interviewed a friend for his podcast. He spoke of a realization that his use of ADHD medication has made him a “high-performing” zombie. 🧟‍♀️ This perspective blew my mind.,12.0,34.0,2.0,2024-09-17 21:17:53,https://www.fishbowlapp.com/post/im-curious-how-many-people-working-in-accounting-are-taking-prescription-medications-for-their-mental-health-andor-to,12
ADHD,an Associate Creative Director,San Diego State University,Advertising,9 months,Agency people with ADHD… how do you function? (Cont’d),13.0,24.0,3.0,2024-09-17 21:18:23,https://www.fishbowlapp.com/post/agency-people-with-adhd-how-do-you-function-contd,13
ADHD,a Business Analyst 1,San Diego State University,Consulting,10 months,"Adults taking ADHD medication, what are your negative experiences? Curious to know about any long term considerations

More info in comments",10.0,31.0,2.0,2024-09-17 21:18:53,https://www.fishbowlapp.com/post/adults-taking-adhd-medication-what-are-your-negative-experiences-curious-to-know-about-any-long-term-considerationsmore-info-in,14
ADHD,an Associate,San Diego State University,Big Law,8 months,Formally diagnosed with ADHD after several years in Big Law (and several years of thinking I had it but could somehow focus on work especially under pressure). Anyone with a similar experience?,12.0,25.0,4.0,2024-09-17 21:19:33,https://www.fishbowlapp.com/post/formally-diagnosed-with-adhd-after-several-years-in-big-law-and-several-years-of-thinking-i-had-it-but-could-somehow-focus-on,15
ADHD,an Associate,San Diego State University,Big Law,4 months,"ADHD lawyers: I’ve been diagnosed since I was 10. Never medicated. I’m an M&A 2nd year now. My performance has been lagging and I was told I have a few months to get better during my yearly review. This is because I struggle to balance competing priorities. Did getting medicated help you guys with this? [PS, this is not a formal PIP, but I do understand that no one comes back from bad reviews & am planning accordingly]",19.0,23.0,8.0,2024-09-17 21:19:58,https://www.fishbowlapp.com/post/adhd-lawyers-ive-been-diagnosed-since-i-was-10-never-medicated-im-an-ma-2nd-year-now-my-performance-has-been-lagging-and-i-was,16
ADHD,a Director of Operations 1,San Diego State University,ADHD Professionals,7 months,Fellow adhd heroes: can you tell me some tips and tricks to get into the groove relatively quick that have anecdotally worked? Some days I can dive deep into a hard task and other days I just take 3-4 hours before I can get into the groove.,23.0,15.0,6.0,2024-09-17 21:20:28,https://www.fishbowlapp.com/post/fellow-adhd-heroes-can-you-tell-me-some-tips-and-tricks-to-get-into-the-groove-relatively-quick-that-have-anecdotally-worked-some,17
ADHD,a Consultant 1,San Diego State University,ADHD Consultants,4 months,"ADHD consultant here. I recently realized that I have struggled with severe ADHD my entire life. University was a nightmare for me. I still don’t know how I survived 5 years at McKinsey. I've realized that I might need to start taking medication to manage my ADHD, as I know it’s a lifelong treatment. Is there anything I should be aware of before starting my medication journey?",10.0,20.0,7.0,2024-09-17 21:20:47,https://www.fishbowlapp.com/post/adhd-consultant-here-i-recently-realized-that-i-have-struggled-with-severe-adhd-my-entire-life-university-was-a-nightmare-for-me,18
ADHD,a Staffing Coordinator,San Diego State University,ADHD Professionals,3 months,"Is there anything your ADHD makes you better at? I'm trying to stay positive, I forgot to pick up my meds yesterday and today has been basically a total wash as a result. The only thing I think I'm better at is accepting other people's mistakes/differences. I'll never judge someone for speaking out of turn or rambling or forgetting something, because I do all of the above lol 🤦🏻",10.0,17.0,4.0,2024-09-17 21:21:12,https://www.fishbowlapp.com/post/is-there-anything-your-adhd-makes-you-better-at-im-trying-to-stay-positive-i-forgot-to-pick-up-my-meds-yesterday-and-today-has,19
ADHD,a Senior Chemist 1,San Diego State University,The Worklife Bowl,10 months,"I'm a 19 year old with high anxiety and depression, as well as a mentally disabled individual, namely ADHD and autism.

I'm generally very quiet and shy and hate any form of confrontation and lackluster conversation that doesn't interest me. I WANT to have connections and be nicer to people, but it's very hard to convince myself to. What do you guys think I can try in order to be more comfortable around others and do my job better?",14.0,20.0,3.0,2024-09-17 21:21:27,https://www.fishbowlapp.com/post/im-a-19-year-old-with-high-anxiety-and-depression-as-well-as-a-mentally-disabled-individual-namely-adhd-and-autism-im-generally,20
ADHD,an Associate,San Diego State University,Consulting,a year,I was half asleep when I took my ADHD medication this morning and I accidentally popped a leftover molly that was on my bedside counter from a crazy weekend. I have a SteerCo that I need to attend in 1.5 hours but thankfully it is over Zoom. My eyes are already starting to wiggle and my palms are sweating. What do I do?,20.0,28.0,20.0,2024-09-17 21:36:22,https://www.fishbowlapp.com/post/i-was-half-asleep-when-i-took-my-adhd-medication-this-morning-and-i-accidentally-popped-a-leftover-molly-that-was-on-my-bedside-counter,21
ADHD,a Manager 1,San Diego State University,Consulting,7 months,"I legit feel like I have ADHD. I sit down to work and a ping, an email, a sort, a pop up, a teams message… I get so distracted and end up doing nothing. I have 20+ windows open and bounce around literally not accomplishing anything. I’m a senior manager and embarrassed. Do I need medication?!",14.0,25.0,4.0,2024-09-17 21:36:55,https://www.fishbowlapp.com/post/i-legit-feel-like-i-have-adhd-i-sit-down-to-work-and-a-ping-an-email-a-sort-a-pop-up-a-teams-message-i-get-so-distracted-and-end-up,22
ADHD,a Human Resources Business Partner,San Diego State University,Human Resources,9 months,"I recently quit my position job about three months ago for various reasons. It’s been more difficult finding a new position than what I expected. although I resigned, I want to file for unemployment. One of the main factors of me quitting was due to changes in the work environment and me newly being diagnosed with ADHD. I expected to say in a high traffic location for half of my shift with minimum resources & constant interruptions for “ visibility” purposes. what’s the odds of me winning?",6.0,30.0,1.0,2024-09-17 21:37:20,https://www.fishbowlapp.com/post/i-recently-quit-my-position-job-about-three-months-ago-for-various-reasons-its-been-more-difficult-finding-a-new-position-than,23
ADHD,an Assistant,San Diego State University,ADHD Professionals,4 months,"I was 33 when I was first diagnosed with ADHD, before that I had no clue what my problem was and it was frustrating. I feel like my late diagnosis held me back. At what age did everyone else get their diagnosis? Do you think your life would be different if you had known you had ADHD earlier?",11.0,29.0,3.0,2024-09-17 21:37:50,https://www.fishbowlapp.com/post/i-was-33-when-i-was-first-diagnosed-with-adhd-before-that-i-had-no-clue-what-my-problem-was-and-it-was-frustrating-i-feel-like,24
ADHD,an Associate Design Director,San Diego State University,Advertising,8 months,"Yesterday I did was my first time micro dosing. I I managed to work and organize the 3 different projects I’m working on, got a presentation in order with spare time for an 11am. Cleaned the house during lunch, had some intimate tine with my wife in the middle of the day.
Is that how living without ADHD feels like?",18.0,38.0,1.0,2024-09-17 21:38:20,https://www.fishbowlapp.com/post/yesterday-i-did-was-my-first-time-micro-dosing-i-i-managed-to-work-and-organize-the-3-different-projects-im-working-on-got-a,25
ADHD,a Thermoplastics Channel Supervisor 1,San Diego State University,ADHD Professionals,9 months,Anyone beat their adhd naturally without medication? Through productivity hacks/good habits and lifestyle changes?,6.0,19.0,7.0,2024-09-17 21:39:07,https://www.fishbowlapp.com/post/anyone-beat-their-adhd-naturally-without-medication-through-productivity-hacksgood-habits-and-lifestyle-changes,26
