Neurodiversity,Posted By,Employer,Post Type,Time Posted,Content,Likes,Comments,Shares,Timestamp Collected,Post URL,Post ID
Anxiety,a Camp Counselor 1,San Diego State University,Depression/Anxiety Talk,3 months,"I suffer with anxiety everyday and diagnosed. It's hard . Practicing meditation , deep breathing, and take my medicine. If anyone have more tools that would be nice.",86.0,136.0,35.0,2024-09-16 22:43:58,https://www.fishbowlapp.com/post/i-suffer-with-anxiety-everyday-and-diagnosed-its-hard-practicing-meditation-deep-breathing-and-take-my-medicine-if,1
Anxiety,a Senior Associate,San Diego State University,Big Law,4 months,"Am I a failure if I leave big law because of my anxiety issues, I’m trying to fight through it but even have anxiety opening emails.",28.0,82.0,7.0,2024-09-16 22:44:17,https://www.fishbowlapp.com/post/am-i-a-failure-if-i-leave-big-law-because-of-my-anxiety-issues-im-trying-to-fight-through-it-but-even-have-anxiety-opening,2
Anxiety,a Vice President 1,San Diego State University,Consulting Exit Opportunities,5 months,"To all the consultants who were laid off and still searching, there's still hope. I was laid off by PwC last year and was unemployeed for over a year, with a family of 3 children to feed. I have applied for 300+ roles, with 20+ interviews and 5 final rounds all being rejected. There were so many sleepless nights, self-doubt, anxiety attack, and just total despairity. Today, I finally got an offer from my dream company in tech,with 20% TC raise and potentially much better WLB. (cont. in comment)",321.0,45.0,22.0,2024-09-16 22:44:54,https://www.fishbowlapp.com/post/to-all-the-consultants-who-were-laid-off-and-still-searching-theres-still-hope-i-was-laid-off-by-pwc-last-year-and-was-unemployeed-for,3
Anxiety,a Product Manager,San Diego State University,Tech,10 months,"Does anyone here who’s job searching while being unemployed feels anxiety on weekends? I got laid off last month and Friday evenings and weekends are really hard for me. The rejection emails start pouring from Friday evening and I know that I won’t get any interview updates or feedback over the weekend. There’s also not much to study as after interviewing for so long you already know the answers to most questions. In short, I just feel terrible on weekends and wonder if this is normal?",124.0,64.0,3.0,2024-09-16 22:45:26,https://www.fishbowlapp.com/post/does-anyone-here-whos-job-searching-while-being-unemployed-feels-anxiety-on-weekends-i-got-laid-off-last-month-and-friday,4
Anxiety,a Consultant,San Diego State University,Consulting,5 months,"SM yelled at me for not responding to a weekend email until Monday (on a normal weekend with no expectation to be available). I mean *yelled* at me and said some pretty disrespectful things. I have never had a negative review or issue like this ever.

Is it worth saying anything? Is there a way to bring this up with someone without it becoming a problem for me? I feel a lot of anxiety about being around him and about the project now.",44.0,81.0,3.0,2024-09-16 22:45:45,https://www.fishbowlapp.com/post/sm-yelled-at-me-for-not-responding-to-a-weekend-email-until-monday-on-a-normal-weekend-with-no-expectation-to-be-available,5
Anxiety,a Billing Specialist,San Diego State University,Interview Tips,3 months,"I am horrible at interviewing to the point I want to cry when it’s over. I’ve tried everything to be better but my anxiety takes over. I always do well in my roles. I am a faster learner and have never had any issues with performance or producing quality work. I am an extrovert. I’m outgoing & get along with everyone . But when it comes to interviews it’s like I become a different person. My brain shuts down, my personality doesn’t come out. Anyone have these experiences when interviewing?",99.0,67.0,23.0,2024-09-16 22:46:33,https://www.fishbowlapp.com/post/i-am-horrible-at-interviewing-to-the-point-i-want-to-cry-when-its-over-ive-tried-everything-to-be-better-but-my-anxiety-takes,6
Anxiety,a Senior Manager 1,San Diego State University,Consulting,a year,"Question for those of you who have depression and /or anxiety? How do you cope? I have done everything. Anti depressants, radio therapy, meditation, workouts, journaling, stupid walks. It seems to have gotten worse. Nothing sticks and that makes life and work v tough. Anything worked for you in the long term?",14.0,103.0,12.0,2024-09-16 22:47:24,https://www.fishbowlapp.com/post/question-for-those-of-you-who-have-depression-and-or-anxiety-how-do-you-cope-i-have-done-everything-anti-depressants-radio,7
Anxiety,an Associate,San Diego State University,Big Law,7 months,Has anyone left big law without a job lined up? How did you land on your feet again? (For context: I’m a 2nd/3rd at a v10 firm and from a T5 law school; no family money and have loans. I’m having anxiety/panic attacks because of work and just don’t want to live like this anymore. No time to search for job while working.) I already took a health leave and feel like I can’t again. I searched for a job during this leave - but didn’t give it enough time/had too high standards/economy sucked/. (Cont),26.0,58.0,11.0,2024-09-16 22:48:33,https://www.fishbowlapp.com/post/has-anyone-left-big-law-without-a-job-lined-up-how-did-you-land-on-your-feet-again-for-context-im-a-2nd3rd-at-a-v10-firm-and-from-a,8
Anxiety,a Director 1,San Diego State University,Salaries in Tech,a month,"I make $225k. Am too anxious all the time. We just had our second kid. Coming back to work after my leave, i feel sick to stomach. With 2 kids to raise and house to run, i feel very pressured and having anxiety attacks that I may lose my job anytime. How to calm myself and focus on work instead of getting anxious all the time?",55.0,48.0,17.0,2024-09-16 22:49:40,https://www.fishbowlapp.com/post/i-make-225k-am-too-anxious-all-the-time-we-just-had-our-second-kid-coming-back-to-work-after-my-leave-i-feel-sick-to-stomach-with,9
Anxiety,an Account Executive,San Diego State University,Sales,5 months,Meeting my 3 monthly quotas has become a little challenging lately and I started having issues with my employer for the past 4 months primarily with my VP who has been giving me a form of emotional abuse on my weekly one on one .I feel Ive being nit picked at by him. The CEO is also toxic and a controler. Due to all this emotional distress I developed PTSD and anxiety. Should I talk to them and express how I feel? I'm afraid of possible retaliation or should I take legal action? Thank you.,49.0,30.0,6.0,2024-09-16 22:50:10,https://www.fishbowlapp.com/post/meeting-my-3-monthly-quotas-has-become-a-little-challenging-lately-and-i-started-having-issues-with-my-employer-for-the-past,10
Anxiety,an Associate Attorney,San Diego State University,Law,7 months,"Senior associate in big law. For the longest time, I struggled with imposter syndrome, wondering if I had the chops to cut it at my firm. Work has been so incredibly busy and stressful that I finally came to a realization. It’s not that I CAN’T cut it — it’s that I don’t WANT to. I am so sick and tired of spending every single hour of my life stressed, working every weekend, not spending time with my husband, throwing up every day because of my anxiety, and crying about my self worth.",62.0,38.0,15.0,2024-09-16 22:50:34,https://www.fishbowlapp.com/post/senior-associate-in-big-law-for-the-longest-time-i-struggled-with-imposter-syndrome-wondering-if-i-had-the-chops-to-cut-it,11
Anxiety,a Senior Associate,San Diego State University,Accounting,a year,Is it really bad manners to not have your camera on in team meetings if other members have their’s on? What if you have extreme anxiety?,14.0,70.0,4.0,2024-09-16 22:51:04,https://www.fishbowlapp.com/post/is-it-really-bad-manners-to-not-have-your-camera-on-in-team-meetings-if-other-members-have-theirs-on,12
Anxiety,a Senior Manager,San Diego State University,Parents at Work,7 months,"My 12 yr old (M, 6th grade) hasn't been himself lately (~4-5 mos). Complaining of stomach aches, not interacting w/friends, not getting work done, etc. Last night he broke down in tears and after over an hour of talking I learned how much negative self-talk he has in his head, how low his confidence is, and how much anxiety he has (which I think is manifesting in physical symptoms). My heart completely broke because he is a smart, funny, and kind. How can I best support him and help him? Cont.",47.0,48.0,4.0,2024-09-16 22:52:01,https://www.fishbowlapp.com/post/my-12-yr-old-m-6th-grade-hasnt-been-himself-lately-4-5-mos-complaining-of-stomach-aches-not-interacting-wfriends-not-getting,13
Anxiety,a Senior Art Director,San Diego State University,Advertising,a year,"Welp just put in my two weeks notice because of the RTO mandate at omnicom I don't have anything lined up yet, but I couldn't deal with the constant anxiety attacks of commuting and open offices.",44.0,46.0,4.0,2024-09-16 22:52:31,https://www.fishbowlapp.com/post/welp-just-put-in-my-two-weeks-notice-because-of-the-rto-mandate-at-omnicom-i-dont-have-anything-lined-up-yet-but-i-couldnt-deal,14
Anxiety,an Administrative,San Diego State University,Career Pivot,a year,"Does anyone have any interview Tips? I haven’t interviewed in over 10 years and not only do I feel rusty but also I noticed my anxiety is over the roof, I get so stressed and nervous that I freeze and forget what I was going to say. Any advice?",44.0,21.0,12.0,2024-09-16 22:53:24,https://www.fishbowlapp.com/post/does-anyone-have-any-interview-tips-i-havent-interviewed-in-over-10-years-and-not-only-do-i-feel-rusty-but-also-i-noticed-my,15
