Neurodiversity,Posted By,Employer,Post Type,Time Posted,Content,Likes,Comments,Shares,Timestamp Collected,Post URL,Post ID
Bipolar,,,,8 months,New almost gf told me she’s diagnosed with Bipolar Type 2? Should I be understanding and be okay with that? Or should I run? Don’t wanna be a dick but also wanna be realistic and not waste her or my time. I just don’t know how to feel. I feel like I do kind of notice it at times,11,198,2,9/20/24 10:32,https://www.fishbowlapp.com/post/new-almost-gf-told-me-shes-diagnosed-with-bipolar-type-2-should-i-be-understanding-and-be-okay-with-that-or-should-i-run-dont-wanna,1
Bipolar,a Biomechanical Engineer 1,San Diego State University,The Worklife Bowl,a year,"Step son recently diagnosed bipolar. Senior year at USC. Had to pull out of school, fly back home and entered in-patient facility by way of Baker Act. Has had issues since teenage years with depression and anxiety. Onset of BPD was affecting school.

Seriously difficult situation. Does anyone care to share experiences with mental health issues with BPD? Mom is severely stressed and was already dealing with depression due to career upheaval",22,29,,9/20/24 10:33,https://www.fishbowlapp.com/post/step-son-recently-diagnosed-bipolar-senior-year-at-usc-had-to-pull-out-of-school-fly-back-home-and-entered-in-patient-facility-by,2
Bipolar,an Associate,San Diego State University,Big Law,a year,"Any bipolar associates find pulling these hours just like significantly harder than others? People talk about working fine on 1-3 hours of sleep or b2b all nighters. I just feel like my meds make me want 9–10 hours of sleep, and I feel like a zombie getting under 4-5. Like unable to operate. Don’t know how sustainable this is if the market picks up.",6,44,6,9/20/24 10:34,https://www.fishbowlapp.com/post/any-bipolar-associates-find-pulling-these-hours-just-like-significantly-harder-than-others-people-talk-about-working,3
Bipolar,a HR and Payroll Manager,San Diego State University,Confession,8 months,"So I have a longtime friend that keeps coming to me for HR advice and she wants me to ""give her permission"" to use her ADA accommodations (we don't work together). She calls out often, she's bipolar. I get it, I do. My husband is bipolar but it's like she treats me like the bipolar whisperer and comes to me for EVERYTHING. I can't be someone's everything, not even my spouse. She has a therapist, but she's constantly asking if she is going to be fired. Story continues in comments.",4,20,1,9/20/24 10:35,https://www.fishbowlapp.com/post/so-i-have-a-longtime-friend-that-keeps-coming-to-me-for-hr-advice-and-she-wants-me-to-give-her-permission-to-use-her-ada-accommodations-we,4
Bipolar,a Manager,San Diego State University,Consulting,3 months,"Normally I'm not super sensitive but it bothers me how people misuse medical conditions as slurs or jokes, especially in the office. OCD is not a cutesy description. Bipolar is not a cutesy description. Alcoholic is not a cutesy description. These are real medical conditions and it is cruel and offensive to use them as slurs or jokes. If you don't go around calling people f*ggots and r*tards then don't go around calling people bipolar, OCD, or alcoholic who aren't.",11,26,2,9/20/24 10:35,https://www.fishbowlapp.com/post/normally-im-not-super-sensitive-but-it-bothers-me-how-people-misuse-medical-conditions-as-slurs-or-jokes-ocd-is-not-a-cutesy,5
Bipolar,a Director 1,San Diego State University,Consulting,8 months,"Coming off of a few days with a parent who is likely bipolar. Parent does therapy, but has not been diagnosed or medicated. I used to hope for change and now I’ve accepted this is just reality - but it still takes a toll on me and I have to detox for a few days after interactions. Anyone BTDT? Advice?",4,13,1,9/20/24 10:36,https://www.fishbowlapp.com/post/coming-off-of-a-few-days-with-a-parent-who-is-likely-bipolar-parent-does-therapy-but-has-not-been-diagnosed-or-medicated-i,6
Bipolar,an Associate,San Diego State University,Big Law,8 months,"Hi folks.

After 1.5 years in this job, I fear I’m not cut out for it. I have a history of mental illness (anxiety and bipolar disorder). I have an extreme fear of making mistakes, being disbarred, and my life and personal finances falling into ruins.

I believe I’m more cut out for an inhouse job with more predictability and everyone pulling in the same direction. But I think a supply chain/procurement commercial role might fit me better. I’m good with contracts, understanding markets and",7,12,1,9/20/24 10:36,https://www.fishbowlapp.com/post/hi-folks-after-1-5-years-in-this-job-i-fear-im-not-cut-out-for-it-i-have-a-history-of-mental-illness-anxiety-and-bipolar-disorder-i,7
Bipolar,a HR and Payroll Manager,San Diego State University,Human Resources,a year,"So I have a friend (yes a friend and not me) working for a large corporation, and she’s having trouble filing her ADA accommodations for her bipolar disorder. Her company is stating they may have to re-evaluate her job performance every quarter. When she replied “would you ask that if someone in a wheelchair?” They didn’t know how to reply. Can you treat one disability differently than another if they have an ADA on file? I thought that was illegal…",7,14,3,9/20/24 10:36,https://www.fishbowlapp.com/post/so-i-have-a-friend-yes-a-friend-and-not-me-working-for-a-large-corporation-and-shes-having-trouble-filing-her-ada-accommodations-for-her,8
Bipolar,a Consultant 1,San Diego State University,Depression/Anxiety Talk,8 months,I am dating someone for few months now. Before getting into relationship I did get him aware of my mental health issues. We have been going through tough phase and I was little upset with him on it. Later when we decided to meet I thought of putting happy face because I was meeting him after a long time. When we met he jokingly asked me if I’m bipolar and said my text messages when I was upset were indicating towards it. I was shocked and couldn’t react much at that time.,15,10,3,9/20/24 10:37,https://www.fishbowlapp.com/post/i-am-dating-someone-for-few-months-now-before-getting-into-relationship-i-did-get-him-aware-of-my-mental-health-issues-we,9
Bipolar,an Attorney,San Diego State University,Law,a year,"I’m a partner who haven’t had any bipolar symptoms in 10 years. This week I starting cycling between hypomanic and depression sleeping 16 hours a day. I moved all my hearings this week and explained to my senior associate and paralegal, I’ll need to lean on them. What else can I do to take care of my professional responsibilities?",7,8,,9/20/24 10:37,https://www.fishbowlapp.com/post/im-a-partner-who-havent-had-any-bipolar-symptoms-in-10-years-this-week-i-starting-cycling-between-hypomanic-and-depression,10
Bipolar,a Manager,San Diego State University,Confession,5 months,"I think my husband is bipolar. His sudden change of behavior and douche attitude is starting to get emotionally tiring. One moment we're good, 5 minutes later he isn't speaking to me and telling me to shut up, I think he should get help but I know he likely won't go unless I book an appointment with him. Anyone dealing with a smiliar partner? How did you get past it?",2,7,,9/20/24 10:37,https://www.fishbowlapp.com/post/i-think-my-husband-is-bipolar-his-sudden-change-of-behavior-and-douche-attitude-is-starting-to-get-emotionally-tiring-one,11
Bipolar,a Senior Associate,San Diego State University,Confession,3 months,Has anyone had a bipolar manager ? How did you manage?,1,12,1,9/20/24 10:38,https://www.fishbowlapp.com/post/has-anyone-had-a-bipolar-manager-how-did-you-manage,12
Bipolar,a Time OFF From Healthcare,San Diego State University,The Worklife Bowl,8 months,"Advise? New to small company. Had no orientation or training plan. Boss went out on planned leave 4 wks in (wasn’t informed in interview). After 4 wks she’s back. Same concerns I’m seeing: unorganized, scattered, lack of planning, lack of leadership, and direction for new person (me), inconsistent info, false promises, lack of follow through. She disclosed she lives with bipolar swings and adhd. No judgement. I feel a lot of what I’m experiencing is related this her disclosure. Cont. in comments",9,11,1,9/20/24 10:38,https://www.fishbowlapp.com/post/advise-new-to-small-company-had-no-orientation-or-training-plan-boss-went-out-on-planned-leave-4-wks-in-wasnt-informed-in-interview,13
