Neurodiversity,Posted By,Employer,Post Type,Time Posted,Content,Likes,Comments,Shares,Timestamp Collected,Post URL,Post ID
BPD,a Product Manager,San Diego State University,Confession,6 months,Anyone married to a person with borderline personality disorder (BPD)? It's been 8 years and I'm tired. Do they get better?,11,26,4,2024-09-20 14:19:34,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,1
BPD,a Software Engineer,San Diego State University,The Worklife Bowl,9 months,Has anyone here had a relationship with someone with BPD (borderline personality disorder)? If so how do you handle their frequent mood swings and anger? I find it so disruptive and stressful. We would have fights that last the night and it makes me so anxious waiting for the next shoe to drop,1,15,1,2024-09-20 14:20:06,https://www.fishbowlapp.com/post/has-anyone-here-had-a-relationship-with-someone-with-bpd-borderline-personality-disorder-if-so-how-do-you-handle-their,2
BPD,an Accountant,San Diego State University,Marriage Advice for Professionals,3 months,I feel my wife has untreated Borderline Personality Disorder but she would never admit to it or accept help. She has all the symptoms though. How can I navigate still having a successful marriage and bringing kids into the picture?,1,15,,2024-09-20 14:20:31,https://www.fishbowlapp.com/post/i-feel-my-wife-has-untreated-borderline-personality-disorder-but-she-would-never-admit-to-it-or-accept-help-she-has-all,3
BPD,an Associate,San Diego State University,Confession,a year,Ex-boyfriend has borderline personality disorder and he did a lot of hurtful and abusive things to me during the relationship. He refuses to maintain support to heal so I had to end it. I know I made the right choice but I feel really bad for him and bad about how the relationship ended. I know he made the choice to hurt me but because he has a disorder I really feel bad for him because I realize some of it can’t be helped. How do I get over this without reestablishing anything with him?,6,7,,2024-09-20 14:21:05,https://www.fishbowlapp.com/post/exa-boyfriend-has-borderline-personality-disorder-and-he-did-a-lot-of-hurtful-and-abusive-things-to-me-during-the-relationship-he,4
BPD,a Biomechanical Engineer 1,San Diego State University,The Worklife Bowl,a year,"Step son recently diagnosed bipolar. Senior year at USC. Had to pull out of school, fly back home and entered in-patient facility by way of Baker Act. Has had issues since teenage years with depression and anxiety. Onset of BPD was affecting school.

Seriously difficult situation. Does anyone care to share experiences with mental health issues with BPD? Mom is severely stressed and was already dealing with depression due to career upheaval",22,29,,2024-09-20 14:21:30,https://www.fishbowlapp.com/post/step-son-recently-diagnosed-bipolar-senior-year-at-usc-had-to-pull-out-of-school-fly-back-home-and-entered-in-patient-facility-by,5
BPD,a Product Manager,San Diego State University,Confession,6 months,Anyone married to a person with borderline personality disorder (BPD)? It's been 8 years and I'm tired. Do they get better?,11,26,4,2024-09-20 14:22:17,https://www.fishbowlapp.com/post/anyone-married-to-a-person-with-borderline-personality-disorder-bpd-its-been-8-years-and-im-tired-do-they-get-better,6
BPD,a Software Engineer,San Diego State University,The Worklife Bowl,9 months,Has anyone here had a relationship with someone with BPD (borderline personality disorder)? If so how do you handle their frequent mood swings and anger? I find it so disruptive and stressful. We would have fights that last the night and it makes me so anxious waiting for the next shoe to drop,1,15,1,2024-09-20 14:22:49,https://www.fishbowlapp.com/post/has-anyone-here-had-a-relationship-with-someone-with-bpd-borderline-personality-disorder-if-so-how-do-you-handle-their,7
BPD,an Educational Technologist II 1,San Diego State University,ADHD Professionals,8 months,Does anyone have any advice on managing executive dysfunction and other adhd/bpd symptoms? I'm planning on obtaining medication again but if there are any other real world /EFFECTIVE alternatives I would LOVE to hear them. I've been really struggling lately despite the therapy and meds I've taken in the past....,6,4,1,2024-09-20 14:23:14,https://www.fishbowlapp.com/post/does-anyone-have-any-advice-on-managing-executive-dysfunction-and-other-adhdbpd-symptoms-im-planning-on-obtaining-medication,8
BPD,a Senior Linux Systems Administrator,San Diego State University,Depression/Anxiety Talk,6 months,"Just out of a 9 year relationship, where the last 4 we were married. She had BPD, which I was completely unaware of prior to our getting together. Thought I was in paradise with this woman until WWIII erupted; I walked a horrific minefield every day. My job was significantly affected though I worked predominantly remote from home. Performance, memory and consistency issues were hit or miss in day-to-day work (many times 'miss'). I feel my company let me go without putting in effort to help me!",8,6,1,2024-09-20 14:23:27,https://www.fishbowlapp.com/post/just-out-of-a-9-year-relationship-where-the-last-4-we-were-married-she-had-bpd-which-i-was-completely-unaware-of-prior-to-our,9
BPD,a Sales,San Diego State University,Confession,4 months,"I’ve worked with two therapists and a psychiatrist. The therapists I worked with for 3 months and 4 months. The psych I saw for an hour. They diagnosed me with PTSD and Bipolar Disorder. I’m no psych expert but I was a little shocked at that. Is that normal to diagnose someone with that after just one hour? Yes, I’m anxious. Ever since I was a kid. And am now in depression but never would have categorized myself as BPD. I have a job, I’ve paid down my student loans from 5 figures to 4 and will",3,37,,2024-09-20 14:23:41,https://www.fishbowlapp.com/post/ive-worked-with-two-therapists-and-a-psychiatrist-the-therapists-i-worked-with-for-3-months-and-4-months-the-psych-i-saw-for,10
