Neurodiversity,Posted By,Employer,Post Type,Time Posted,Content,Likes,Comments,Shares,Timestamp Collected,Post URL,Post ID
Depression,a Software Engineer,San Diego State University,Tech,7 months,"I got laid off yesterday and was wondering if I had to work
Im responsible for 2 kids and need to quickly find a job within 45 days starting from today.
I had most stories taken away from my Mgr even before the notice period so I'm very demoralized now and was wondering I had to join meetings and continue to work?
I also was diagnosed with clinical depression due to being a toxic place for so long.
Do I still go in the office and work?
I need to prep and find a job now

@JPMorgan Chase",105,109,21,9/18/24 20:18,https://www.fishbowlapp.com/post/i-got-laid-off-yesterday-and-was-wondering-if-i-had-to-workim-responsible-for-2-kids-and-need-to-quickly-find-a-job-within-45,1
Depression,a Management Consultant,San Diego State University,Relationships,4 months,"My boyfriend of 5 years broke up with me yesterday because he is convinced he has prostate enlargement at 43 and needs his prostate removed and says he’ll never be able to have intimacy again. He’s gonna down a deep depression rabbit hole and I’m heartbroken. I don’t know what to do, how to be and it sucks he did this right before Mother’s Day as a now single mom.",33,80,8,9/18/24 20:19,https://www.fishbowlapp.com/post/my-boyfriend-of-5-years-broke-up-with-me-yesterday-because-he-is-convinced-he-has-prostate-enlargement-at-43-and-needs-his,2
Depression,a Senior Associate,San Diego State University,Jobs in Finance,4 months,how scary is a 6-9 months employment gap. Got severely burnt out and severe depression from my last job and thinking to take half a year for myself. Wanted to check and see how would this be affecting my next job application. Appreciate the advice!,40,81,10,9/18/24 20:20,https://www.fishbowlapp.com/post/how-scary-is-a-6-9-months-employment-gap-got-severely-burnt-out-and-severe-depression-from-my-last-job-and-thinking-to-take,3
Depression,a Senior Manager 1,San Diego State University,Consulting,a year,"Question for those of you who have depression and /or anxiety? How do you cope? I have done everything. Anti depressants, radio therapy, meditation, workouts, journaling, stupid walks. It seems to have gotten worse. Nothing sticks and that makes life and work v tough. Anything worked for you in the long term?",14,103,12,9/18/24 20:20,https://www.fishbowlapp.com/post/question-for-those-of-you-who-have-depression-and-or-anxiety-how-do-you-cope-i-have-done-everything-anti-depressants-radio,4
Depression,a Copywriter,San Diego State University,Advertising,4 months,"Are we the only ones talking about the employment crisis in the ad industry? Or any mainstream news outlets? Crisis meaning, agencies dumping employees, and are now drowning in their inability to process new candidates, oh and the pay is 1/3 less than before. Nobody cares about ad people, but there are so many of us out of work. My family has not heard of our little economic depression, which is a blessing. Better to pretend all is okay, while silently panicking inside. ☀️😳",45,56,10,9/18/24 20:22,https://www.fishbowlapp.com/post/are-we-the-only-ones-talking-about-the-employment-crisis-in-the-ad-industry-or-any-mainstream-news-outlets-crisis,5
Depression,a Senior Associate,San Diego State University,The Worklife Bowl,7 months,"Has anyone ever been let go due to depression related performance issues? I haven't been able to proverbially ""get myself out of bed"" and I've become useless even though my firm and leaders have shown me a lot of grace, but I'm getting to the point where I deserve to be fired. It feels like I'm driving a car right off a cliff that I'd seen coming from a mile away because my body refuses to react. Any tips or anecdotes would be appreciated. Thanks.",38,49,8,9/18/24 20:22,https://www.fishbowlapp.com/post/has-anyone-ever-been-let-go-due-to-depression-related-performance-issues-i-havent-been-able-to-proverbially-get-myself,6
Depression,a Consultant,San Diego State University,Depression/Anxiety Talk,9 months,"I can’t stop crying. Another year has ended and still no friends, unemployed due to a RIF and 60 pounds overweight. The past 5 years have just been a spiral down. Single and no family. I am not going to harm myself but I honestly don’t know how to pull myself out. Finding a good therapist is almost impossible and expensive. I don’t want to play around with any other prescriptions. I have anxiety meds and depression pills just don’t work for me. Thank you for letting me vent.",62,43,3,9/18/24 20:23,https://www.fishbowlapp.com/post/i-cant-stop-crying-another-year-has-ended-and-still-no-friends-unemployed-due-to-a-rif-and-60-pounds-overweight-the-past-5-years,7
Depression,a Consultant 1,San Diego State University,Consulting,7 months,Hot take: Do you think that this Great-Consulting-Depression was caused not by overhiring (at least not only) but by a structural demand for consulting work going down? Mainly caused by the introduction of GenAI and the whole consulting model being completely broken. Clients are less willing to pay top bucks for consulting work. I would love to hear your thoughts.,7,42,5,9/20/24 14:50,https://www.fishbowlapp.com/post/hot-take-do-you-think-that-this-great-consulting-depression-was-caused-not-by-overhiring-at-least-not-only-but-by-a-structural,8
Depression,a Manager 2,San Diego State University,Consulting,9 months,I guess I just want strangers to tell me it’s going to be fine. I’ve been in severe depression for 1+ yr. Current long-term project made it impossible to exercise usual coping mechanisms. I haven’t been able to do ADLs for weeks but somehow still worked until today. Heading into a second med leave this year and I’m just tired and numb. I know there’re tons of high functioning depression people out there. How do you take care of yourself with this job? Does it ever actually get better?,29,61,4,9/20/24 14:50,https://www.fishbowlapp.com/post/i-guess-i-just-want-strangers-to-tell-me-its-going-to-be-fine-ive-been-in-severe-depression-for-1-yr-current-long-term-project-made,9
Depression,a Project Manager,San Diego State University,Jobs in Marketing,a year,"I have been unemployed since April this year; been busting my butt applying, interviewing, and talking to many recruiters, and still nothing. Getting a bit worried and have been dealing with depression/anxiety. I know this market is awful right now, and will keep on keeping on, but damn. I'm about to start applying for retail or data entry at this point, just to get something; just me?? Solidarity to everyone else in the same boat.",30,30,3,9/20/24 14:51,https://www.fishbowlapp.com/post/i-have-been-unemployed-since-april-this-year-been-busting-my-butt-applying-interviewing-and-talking-to-many-recruiters,10
Depression,an Attorney 1,San Diego State University,Staying Healthy,8 months,"I quit drinking cold turkey a little over a week ago and have been quite sick since. Sore throat, body aches, chills, mild depression, sleeping 12+ hrs/day. It’s odd cause it’s not a cold or anything like that. At first I thought it was a coincidence but something is telling me it’s related to the drinking. I was drinking a lot daily for years. Also I have no appetite and just a feeling of unease in my stomach. I’ve been forcing myself to eat but it’s been like 500 cal/day",18,45,1,9/20/24 14:51,https://www.fishbowlapp.com/post/i-quit-drinking-cold-turkey-a-little-over-a-week-ago-and-have-been-quite-sick-since-sore-throat-body-aches-chills-mild-depression-sleeping,11
Depression,a Recruiter,San Diego State University,Confession,10 months,"Today, my SO said I was responsible for their happiness. I don't entirely agree. I feel they have a lot of anger and depression issues and need to talk to someone professionally (amongst many other things) and that their happiness is their responsibility.

I can only do so much for them.

Tell me I'm wrong, or help me see another side of this argument.",12,31,,9/20/24 14:52,https://www.fishbowlapp.com/post/today-my-so-said-i-was-responsible-for-their-happiness-i-dont-entirely-agree-i-feel-they-have-a-lot-of-anger-and-depression,12
Depression,a Senior Consultant,San Diego State University,Confession,5 months,"If you had to choose, would you go with a guy who only got into 1 college he applied for, doesn't make much money and probably never will, has all kinds of depression and anxiety issues that require a cocktail of antidepressants to deal with but comes from a loving family, and really cares about you and is honest and consistent or with another guy who had a good job, makes good money and happily spends it on you but dabbles with cocaine (but is disciplined enough to avoid real addiction)?",8,63,2,9/20/24 14:53,https://www.fishbowlapp.com/post/if-you-had-to-choose-would-you-go-with-a-guy-who-only-got-into-1-college-he-applied-for-doesnt-make-much-money-and-probably,13
Depression,a Consultant 2,San Diego State University,Consulting,9 months,Just found out I may have depression. Help.,10,41,3,9/20/24 14:54,https://www.fishbowlapp.com/post/just-found-out-i-may-have-depression-help,14
Depression,a Member,San Diego State University,Law,4 months,"I just finished a two week trial and am having depression, which is not something I frequently experience. The trial went very well but I feel sad and depleted. I’m not sure if it’s from the chronic exhaustion or what. Anyone else ever experienced this?",19,20,3,9/20/24 14:54,https://www.fishbowlapp.com/post/i-just-finished-a-two-week-trial-and-am-having-depression-which-is-not-something-i-frequently-experience-the-trial-went-very,15
Depression,a Senior Vice President,San Diego State University,Advertising,a year,How do you manage your anxiety and/or depression?,6,36,1,9/20/24 14:55,https://www.fishbowlapp.com/post/how-do-you-manage-your-anxiety-andor-depression,16
Depression,a Project Manager,San Diego State University,Tech,a year,I have been desperately applying for jobs for the past 3 months with no luck getting hired. I have paid several hundreds of dollars revamping my resume to only feel as though I am being overlooked. I am losing hope. Unemployment is running out and I am falling into a deep depression afraid of what the future holds. I'm not sure what to do.,32,30,4,9/20/24 14:55,https://www.fishbowlapp.com/post/i-have-been-desperately-applying-for-jobs-for-the-past-3-months-with-no-luck-getting-hired-i-have-paid-several-hundreds-of,17
Depression,an Associate 1,San Diego State University,Depression/Anxiety Talk,9 months,"Is it possible to get FMLA for depression?
I've been through severe depression all throughout this year and I'm thinking of taking some time off to take care of myself.
Not sure if I can take short term disability for it",33,28,8,9/20/24 14:56,https://www.fishbowlapp.com/post/is-it-possible-to-get-fmla-for-depressionive-been-through-severe-depression-all-throughout-this-year-and-im-thinking-of,18
