Neurodiversity,Posted By,Employer,Post Type,Time Posted,Content,Likes,Comments,Shares,Timestamp Collected,Post URL,Post ID
OCD,a Managing Director 1,San Diego State University,Consulting,7 months,Is it weird to joke about being OCD at work? I did this and people began to think I was actually OCD.,6,32,,9/20/24 12:01,https://www.fishbowlapp.com/post/is-it-weird-to-joke-about-being-ocd-at-work-i-did-this-and-people-began-to-think-i-was-actually-ocd,1
OCD,a Manager,San Diego State University,Consulting,3 months,"Normally I'm not super sensitive but it bothers me how people misuse medical conditions as slurs or jokes, especially in the office. OCD is not a cutesy description. Bipolar is not a cutesy description. Alcoholic is not a cutesy description. These are real medical conditions and it is cruel and offensive to use them as slurs or jokes. If you don't go around calling people f*ggots and r*tards then don't go around calling people bipolar, OCD, or alcoholic who aren't.",11,26,2,9/20/24 12:02,https://www.fishbowlapp.com/post/normally-im-not-super-sensitive-but-it-bothers-me-how-people-misuse-medical-conditions-as-slurs-or-jokes-ocd-is-not-a-cutesy,2
OCD,a Manager,San Diego State University,Relationships,a month,Is it time to end things when you think of how your life would be easier if you were single? I feel like I’m wasting my life with an immature partner who can never take accountability & feels he is never wrong. Asking him to clean up after himself results in him telling me I “bring no value and am a slob” despite the fact that I do majority of domestic duties and cooking (we both work). The house is ocd clean & I food prep all our meals. I’m still attractive & don’t want to waste my youth,4,19,1,9/20/24 12:03,https://www.fishbowlapp.com/post/is-it-time-to-end-things-when-you-think-of-how-your-life-would-be-easier-if-you-were-single-i-feel-like-im-wasting-my-life-with,3
OCD,a Senior Manager 1,San Diego State University,Parents at Work,3 months,"I’ve been back at work for a few months after mat leave. But I am really struggling. I think it’s a severe case of PPD/A/OCD. I’m the only mom, let alone new mom, on the team. And constantly hearing how things are not good enough. I don’t know what to do. I work all the time and feel like I’m failing on all fronts. Did anybody else struggle with this? Does it ever get better?",11,14,2,9/20/24 12:03,https://www.fishbowlapp.com/post/ive-been-back-at-work-for-a-few-months-after-mat-leave-but-i-am-really-struggling-i-think-its-a-severe-case-of-ppdaocd-im-the,4
OCD,a Creative,San Diego State University,Advertising,4 months,Should I disclose to my boss that I have ocd? It doesn’t seem to impact my job other than the fact that it’s a huge hit on my confidence and I have anxiety over speaking up from time to time. Part of me thinks it would help but I also don’t want to be seen as a weak link,4,15,,9/20/24 12:03,https://www.fishbowlapp.com/post/should-i-disclose-to-my-boss-that-i-have-ocd-it-doesnt-seem-to-impact-my-job-other-than-the-fact-that-its-a-huge-hit-on-my-confidence-and,5
OCD,an Associate,San Diego State University,Law,6 months,"Attorney who shares a thin wall next to me can’t stop making repetitive guttural noises. Makes them every 90-120 seconds EVERY DAY. He seems to have Tourette’s or something. I have OCD and get driven crazy by repeated noises. After months of this, it has gotten to the point where I can’t focus and am constantly on edge. He’s obviously dealing with an involuntary condition, so I can’t just tell him to stop. There’s not an available office on our floor for me to shift to. What do I do?",3,25,1,9/20/24 12:04,https://www.fishbowlapp.com/post/attorney-who-shares-a-thin-wall-next-to-me-cant-stop-making-repetitive-guttural-noises-makes-them-every-90-120-seconds-every,6
OCD,a Manager,San Diego State University,Consulting,a month,It vexes me how OCD is used as a cutesy adjective. It can be a debilitating disability. Here I am at almost 2am with chemical burns all across my arms and hands and nails bleeding and peeled past the quick because of my OCD. I'm so tired of this. I hate this so much. It isn't a cute adjective or a funky quirk. When someone tells you please don't touch my stuff or me listen to them. I thought once I was an adult out of school into work people would be mature about this but they're not.,9,8,2,9/20/24 12:04,https://www.fishbowlapp.com/post/it-vexes-me-how-ocd-is-used-as-a-cutesy-adjective-it-can-be-a-debilitating-disability-here-i-am-at-almost-2am-with-chemical,7
OCD,an Associate,San Diego State University,Law,9 months,"Have any of y’all sought accommodations related to your mental health diagnoses like ADHD, Autism, OCD, etc.?
What types of accommodations? Was it hard to secure? Has it helped?",6,13,4,9/20/24 12:05,https://www.fishbowlapp.com/post/have-any-of-yall-sought-accommodations-related-to-your-mental-health-diagnoses-like-adhd-autism-ocd-etc-what-types-of-accommodations-nrcf-5,8
OCD,a Claims Adjuster,San Diego State University,Insurance,7 months,"Need some help from you all. I’m in specialty claims & I’m a high performer. I’m a team of 1. Hardly take time off due to the workload and because there’s nowhere else for the claims to go. I get paid well. The problem is, my boss is an “old dog”, is OCD and is on me all the time about how things aren’t perfectly the way he wants them to be. He also never acknowledges my efforts to control all the fires that I deal with and rather criticizes instead. Would anyone put up with this like I’ve been?",12,8,3,9/20/24 12:05,https://www.fishbowlapp.com/post/need-some-help-from-you-all-im-in-specialty-claims-and-im-a-high-performer-im-a-team-of-1-hardly-take-time-off-due-to-the-workload-and,9
OCD,an Attorney,San Diego State University,Big Law,6 months,"Any suggestions on how to deal with a partner gaslighting you? She is OCD and micromanaging. She frequently comments that she wants concepts phrased a certain way in a document—let’s say phrase “X”. Then, after another review, she’ll say “Why the hell did you write X? It should be Y!” I’ve tried documenting by email, but she knows she contradicts herself and avoids email. I’m really trying to work with other partners more, but she keeps piling work on me. Might make me leave this firm soon.",9,15,2,9/20/24 12:05,https://www.fishbowlapp.com/post/any-suggestions-on-how-to-deal-with-a-partner-gaslighting-you-she-is-ocd-and-micromanaging-she-frequently-comments-that,10
