Neurodiversity,Posted By,Employer,Post Type,Time Posted,Content,Likes,Comments,Shares,Timestamp Collected,Post URL,Post ID
PTSD,a Customer Service Representative CSR,San Diego State University,The Worklife Bowl,4 months,"Job Hunting PTSD part 3

Job requirements today be like:

- Must be exactly 21 years old
- Master's Degree Required
- 10 Years relevant experience
- Able to bench press 300lbs
- No criminal history including Kindergarten

Salary: $15/hr, no PTO, no health care, no oxygen, no breathing

Benefits: Once a year pizza party.

Apply today! If you are accepted, you will proceed to our 10 round of interviews to see if you are a cultural fit.

overexaggerating but you get the gist lol",149,32,8,9/20/24 12:39,https://www.fishbowlapp.com/post/job-hunting-ptsd-part-3-job-requirements-today-be-like-must-be-exactly-21-years-old-masters-degree-required-10-years,1
PTSD,an Account Executive,San Diego State University,Sales,5 months,Meeting my 3 monthly quotas has become a little challenging lately and I started having issues with my employer for the past 4 months primarily with my VP who has been giving me a form of emotional abuse on my weekly one on one .I feel Ive being nit picked at by him. The CEO is also toxic and a controler. Due to all this emotional distress I developed PTSD and anxiety. Should I talk to them and express how I feel? I'm afraid of possible retaliation or should I take legal action? Thank you.,49,30,6,9/20/24 12:39,https://www.fishbowlapp.com/post/meeting-my-3-monthly-quotas-has-become-a-little-challenging-lately-and-i-started-having-issues-with-my-employer-for-the-past,2
PTSD,,San Diego State University,Teacher's Lounge,a year,"I quit my teaching job! I couldn't take it anymore. I did EVERYTHING in my power to make this work, even joined a teacher's union. Long story short, this has left me with PTSD. I was verbally abused daily, no support at all, the principals hated me. I don't have a job lined up but I don't care ( I did apply for unemployment and explained my situation) I had to teach 200+ students! Every day. Only break was lunch. People can judge me for quitting but I saved my life. Plus I'm almost done with my",49,39,,9/20/24 12:40,https://www.fishbowlapp.com/post/i-quit-my-teaching-job-i-couldnt-take-it-anymore-i-did-everything-in-my-power-to-make-this-work-even-joined-a-teachers-union,3
PTSD,an Engineer,San Diego State University,Confession,13d,"Wife does not like guns in the house because of PTSD and I support her 100%.

But…

I would like to have one to provide support in case of anything.

Any other guys out there that figured out a way to convince their wives in any type of situation?",3,103,,9/20/24 12:41,https://www.fishbowlapp.com/post/wife-does-not-like-guns-in-the-house-because-of-ptsd-and-i-support-her-100-buti-would-like-to-have-one-to-provide-support-in,4
PTSD,a Vice President,San Diego State University,Surviving A Toxic Workplace,4 months,"I’m experiencing PTSD from my last job where I was unappreciated, often overlooked and underpaid for my work. I was treated badly by my management team and the analysts under me. My management team supported them every time. My management team used to tell me how I’m “so smart” and set higher expectations of me, but continued treating me badly in front of others. I have a masters and a cfa, which is more than my mgmt team had. Now I’m struggling and scared to go to another firm and have the same",34,24,3,9/20/24 12:42,https://www.fishbowlapp.com/post/im-experiencing-ptsd-from-my-last-job-where-i-was-unappreciated-often-overlooked-and-underpaid-for-my-work-i-was-treated,5
PTSD,an Emergency Medical Technician,San Diego State University,Healthcare,9 months,"Does anyone else find they have some PTSD-like symptoms from things they've experienced on the job? I've responded to some calls that have been traumatizing. I love what we do, but healthcare workers carry such a burden.",36,37,2,9/20/24 12:43,https://www.fishbowlapp.com/post/does-anyone-else-find-they-have-some-ptsd-like-symptoms-from-things-theyve-experienced-on-the-job-ive-responded-to-some,6
PTSD,an Inbound Sales Executive,San Diego State University,Sales,a year,Have you ever had a job that has sent you to therapy? I feel like I have PTSD from my last job...,14,32,1,9/20/24 12:43,https://www.fishbowlapp.com/post/have-you-ever-had-a-job-that-has-sent-you-to-therapy-i-feel-like-i-have-ptsd-from-my-last-job,7
PTSD,an Account Executive Lead,San Diego State University,The Worklife Bowl,a month,"Is there such a thing as PTSD in a toxic work environment.?
Over a year ago I left a very toxic work environment that brought me to the brink of mental breakdown. It was also affecting my health. Every time I brought the bullying up to my agent, he would go right to the source that started all of this. Because I could no longer trust him I left before it got worse for me. Every once in a while, it comes back to haunt me . How do I get through this ￼",21,28,2,9/20/24 12:44,https://www.fishbowlapp.com/post/is-there-such-a-thing-as-ptsd-in-a-toxic-work-environment-over-a-year-ago-i-left-a-very-toxic-work-environment-that-brought,8
PTSD,a Counsel,San Diego State University,Big Law,6 months,"For those laid off but found your way back, did you have PTSD initially, second guessing every decision?",13,20,1,9/20/24 12:44,https://www.fishbowlapp.com/post/for-those-laid-off-but-found-your-way-back-did-you-have-ptsd-initially-second-guessing-every-decision,9
PTSD,an Associate Creative Director,San Diego State University,Advertising,4 months,Is anyone suffering from PTSD from being in this industry and it's ups/downs? I'm realizing I might just be 😬,26,15,,9/20/24 12:45,https://www.fishbowlapp.com/post/is-anyone-suffering-from-ptsd-from-being-in-this-industry-and-its-upsdowns-im-realizing-i-might-just-be,10
PTSD,a Recruiter,San Diego State University,Human Resources,7 months,Would you move for a job in this market? I started a new full time position at a healthcare start up late 2023 after being laid off in January. They want me to relocate to their main office in the next few months. They’re offering me a relocation bonus but I really don’t want to move….at least not to their city. Maybe it’s the ptsd from getting laid off 3 times now but I’d hate to move then get laid off. But I also have ZERO other job prospects. Would you make the move?,8,27,2,9/20/24 12:45,https://www.fishbowlapp.com/post/would-you-move-for-a-job-in-this-market-i-started-a-new-full-time-position-at-a-healthcare-start-up-late-2023-after-being-laid-8ohu-5,11
PTSD,a Graphic Designer 1,San Diego State University,Staying Healthy,a year,"I know this isn’t a therapy app, but I’ve been in a serious relationship with this girl for like 10 years, since highschool, and only recently she moved into my house. I’ve always known her family situation was bad at her parents house, but she how has space, peace, resources to do her life how she wants.. but she’s got some sort of PTSD from home. Like everything I do, she perceives as an attack on her. What can I do to better support her and get her to let her guard down?",13,19,3,9/20/24 12:46,https://www.fishbowlapp.com/post/i-know-this-isnt-a-therapy-app-but-ive-been-in-a-serious-relationship-with-this-girl-for-like-10-years-since-highschool-and,12
PTSD,a Marketing Operations Coordinator,San Diego State University,The Worklife Bowl,a year,"Who else has PTSD from their past employers?

My last employer I was a temp and treated like sh*t because they didn’t train me and I was filling in for a leave for someone who had been there for 10+ years, and at my previous employer before that my senior manager used me as a scapegoat and pushed me out.

How do you overcome it? I’m trying to, and trying to remind myself that I’m worthy and capable of a great job but I can’t help but be a little worried.",26,20,,9/20/24 12:46,https://www.fishbowlapp.com/post/who-else-has-ptsd-from-their-past-employers-my-last-employer-i-was-a-temp-and-treated-like-sht-because-they-didnt-train-me-and,13
PTSD,an Associate,San Diego State University,Law,5 months,"Burnt out, iso advice - had a lot of bad stuff the last few years (death in family, ptsd) but worked through most of it because my last ID firm was pretty forgiving. Jumped on a new opportunity 2 months ago to lateral for $20k more but new firm is just not working out - at risk of being canned for low hours, totally different role than before, all around extra stressful and not loving it. Prior firm reached out and said they’d welcome me back. What would you do? (Contd)",14,15,2,9/20/24 12:47,https://www.fishbowlapp.com/post/burnt-out-iso-advice-had-a-lot-of-bad-stuff-the-last-few-years-death-in-family-ptsd-but-worked-through-most-of-it-because-my,14
PTSD,a Manager,San Diego State University,Consulting,a month,"I’ve been let go twice in 3 years (2020 and 2023), and I’m not even 30 yet. Neither layoff was for performance reasons, but I’m pretty traumatized and am anxious in my new job. I’ve gotten poor feedback about my personality (“not building relationships,” etc.) in my new role, which I suspect is caused by layoff PTSD. I avoid conversations or rooms where I don’t have anything valuable to add, or where I might say the wrong thing and slip up. Advice? I can’t get fired from this job too",6,17,2,9/20/24 12:47,https://www.fishbowlapp.com/post/ive-been-let-go-twice-in-3-years-2020-and-2023-and-im-not-even-30-yet-neither-layoff-was-for-performance-reasons-but-im-pretty,15
PTSD,a Customer Service Representative,San Diego State University,The Water Cooler,7 months,Has anyone been diagnosed with PTSD while working in a toxic environment?,33,11,1,9/20/24 12:49,https://www.fishbowlapp.com/post/has-anyone-been-diagnosed-with-ptsd-while-working-in-a-toxic-environment,16
PTSD,a Paralegal,San Diego State University,Paralegals,6 months,"Let go after spending 6 months in a soul-crushing, toxic environment. My attorney left, and his last day was my last day. I was given 2 weeks severance and told I ""wasn't a good fit."" It was not about my work product.
I feel like I have PTSD and would love to hear good come-back stories.",2,16,,9/20/24 12:50,https://www.fishbowlapp.com/post/let-go-after-spending-6-months-in-a-soul-crushing-toxic-environment-my-attorney-left-and-his-last-day-was-my-last-day-i-was-given,17
PTSD,a Director 1,San Diego State University,Depression/Anxiety Talk,8 months,"Personal post. I’ve been w my husband for ~4yrs & I can’t express how much I love him. I didn’t know this level of happiness existed - that’s how wonderful he is. Despite him being a dreamboat, it’s difficult for me to feel comfortable physically and I will still get PTSD symptoms and/or be generally scared of “being sexual”. That fear totally went away after we got married. I had no reservations and was actually excited about trying new things, etc. It was a very purposeful change (cont)",8,15,,9/20/24 12:50,https://www.fishbowlapp.com/post/personal-post-ive-been-w-my-husband-for-4yrs-i-cant-express-how-much-i-love-him-i-didnt-know-this-level-of-happiness-existed,18
PTSD,a Consultant,San Diego State University,Confession,5 months,Ex treated me terribly and cheated on me but got a glow up after I left. I’m now left with PTSD after his abuse and in psychotherapy. I feel like I lost and like I was the abusive one holding him back even though everyone who knows about the way the relationship was says otherwise. How can I stop this cycle of feeling terrible about myself?,5,17,,9/20/24 12:51,https://www.fishbowlapp.com/post/ex-treated-me-terribly-and-cheated-on-me-but-got-a-glow-up-after-i-left-im-now-left-with-ptsd-after-his-abuse-and-in-psychotherapy-i-feel,19
PTSD,an Associate,San Diego State University,Law,3 months,"I made a lateral move, I’m happier, making more $, & got a promotion too. This Fish Bowl grp really helped me thru my dog days in Hell. Thank u! ❤️. Now I just have PTSD every time I see my prior boss post on LinkedIn or think of him & his firm. But I have them to thank. The experience got me the next offer. To all u wonderful ppl whose posts I’ve read about going thru Hell at a firm & hanging on, make those lateral moves! Screw hanging on in Hell. U r worth infinitely better treatment & $.",34,6,2,9/20/24 12:51,https://www.fishbowlapp.com/post/i-made-a-lateral-move-im-happier-making-more-got-a-promotion-too-this-fish-bowl-grp-really-helped-me-thru-my-dog-days-in-hell,20
PTSD,a Sales Representative,San Diego State University,Sales,3 months,"There's a lot to be said about finding a company to work for that seems to value your opinions and feedback. However, I feel like I’m just waiting for the other shoe to drop and things will turn toxic any moment. Is this corporate PTSD from decades of terrible work environments?",20,20,3,9/20/24 12:52,https://www.fishbowlapp.com/post/theres-a-lot-to-be-said-about-finding-a-company-to-work-for-that-seems-to-value-your-opinions-and-feedback-however-i-feel-like,21
PTSD,an Associate Attorney,San Diego State University,Surviving A Toxic Workplace,4 months,Does anyone have recommendations for PTSD treatment centers that will treat traumas related to workplace abuse? Was bullied for years at work and just got laid off. My mental health is a wreck. There are a few luxury rehab facilities I’ve seen online that treat addiction coupled with various PTSD’s but these are super expensive and seem more geared to celebrities/anyone with tons of $$.,13,8,3,9/20/24 12:52,https://www.fishbowlapp.com/post/does-anyone-have-recommendations-for-ptsd-treatment-centers-that-will-treat-traumas-related-to-workplace-abuse-was-bullied,22
PTSD,a MBB Intern,San Diego State University,Relationships,3 months,"Does being alone and knowing you may never find a friend or lover on this earth, make you just feel like life isn’t worth living anymore? And work is also very stressful and you can’t tell if you are doing well enough,and you think if you don’t get a return offer it could be your sign to give up on life,and stop trying? I am so tired of doing everything myself, no form of external joy but filled with fear. Working hard now feels like suffering. Getting some PTSD from even opening my PC.",2,17,1,9/20/24 12:52,https://www.fishbowlapp.com/post/does-being-alone-and-knowing-you-may-never-find-a-friend-or-lover-on-this-earth-make-you-just-feel-like-life-isnt-worth-living,23
PTSD,a Payroll Manager,San Diego State University,Depression/Anxiety Talk,a year,"Anyone diagnosed with PTSD? How do you cope with workplace stress, difficult bosses, etc?",8,9,4,9/20/24 12:53,https://www.fishbowlapp.com/post/anyone-diagnosed-with-ptsd-how-do-you-cope-with-workplace-stress-difficult-bosses-etc,24
